t,x,y,yaw,visible,cmd_lin,cmd_ang,trainer_lin,trainer_ang,label
7517.6905,1.24229,-0.09537,0.01438,1,,,,,
7517.7071,1.21495,-0.09544,-0.12783,1,,,,,
7517.7238,1.28154,-0.09789,0.08137,1,,,,,
7517.7405,1.24995,-0.09735,-0.16182,1,,,,,
7517.7571,1.19811,-0.09458,-0.11883,1,,,,,
7517.7738,1.21558,-0.09501,-0.00560,1,,,,,
7517.7905,1.23043,-0.09565,0.03752,1,,,,,
7517.8071,1.22227,-0.09500,0.04277,1,,,,,
7517.8238,1.23440,-0.09569,0.03943,1,,,,,
7517.8404,1.19552,-0.09456,-0.11649,1,,,,,
7517.8571,1.20774,-0.09526,0.02045,1,,,,,
7517.8738,1.24204,-0.09537,0.01164,1,,,,,
7517.8904,1.24059,-0.09532,0.02883,1,,,,,
7517.9071,1.19559,-0.09451,-0.11944,1,,,,,
7517.9238,1.18962,-0.09429,-0.11078,1,,,,,
7517.9404,1.21777,-0.09493,-0.00232,1,,,,,
7517.9571,1.20337,-0.09500,0.01060,1,,,,,
7517.9738,1.20894,-0.09485,-0.12614,1,,,,,
7517.9904,1.24316,-0.09544,0.00960,1,,,,,
7518.0071,1.19193,-0.09449,-0.11114,1,0.0000,0.8000,0,-400,sync_start
7518.0238,1.22776,-0.09598,-0.14964,1,0.0000,0.8000,0,-400,sync_start
7518.0404,1.22218,-0.09585,-0.18778,1,0.0000,0.8000,0,-400,sync_start
7518.0571,1.26251,-0.09395,-0.34051,1,0.0000,0.8000,0,-400,sync_start
7518.0737,1.22015,-0.08992,-0.46093,1,0.0000,0.8000,0,-400,sync_start
7518.0904,1.23397,-0.08827,0.35830,1,0.0000,0.8000,0,-400,sync_start
7518.1071,1.16611,-0.08025,-1.00068,1,0.0000,-0.8000,0,400,sync_start
7518.1237,1.15560,-0.07577,-1.30944,1,0.0000,-0.8000,0,400,sync_start
7518.1404,,,,0,0.0000,-0.8000,0,400,sync_start
7518.1571,,,,0,0.0000,-0.8000,0,400,sync_start
7518.1737,,,,0,0.0000,-0.8000,0,400,sync_start
7518.1904,,,,0,0.0000,-0.8000,0,400,sync_start
7518.2071,,,,0,0.0000,0.0000,0,0,sync_start
7518.2237,,,,0,0.0000,0.0000,0,0,sync_start
7518.2404,,,,0,0.0000,0.0000,0,0,sync_start
7518.2571,,,,0,0.0000,0.0000,0,0,sync_start
7518.2737,,,,0,0.0000,0.0000,0,0,sync_start
7518.2904,,,,0,0.0000,0.0000,0,0,sync_start
7518.3071,,,,0,0.0000,0.0000,0,0,sync_start
7518.3237,,,,0,0.0000,0.0000,0,0,sync_start
7518.3404,,,,0,0.0000,0.0000,0,0,sync_start
7518.3570,,,,0,0.0000,0.0000,0,0,sync_start
7518.3737,,,,0,0.0000,0.0000,0,0,sync_start
7518.3904,,,,0,0.0000,0.0000,0,0,sync_start
7518.4070,,,,0,0.0000,0.0000,0,0,sync_start
7518.4237,,,,0,0.0000,0.0000,0,0,sync_start
7518.4404,,,,0,0.0000,0.0000,0,0,sync_start
7518.4570,1.26104,-0.06788,-1.82473,1,0.0000,0.0000,0,0,sync_start
7518.4737,,,,0,0.0000,0.0000,0,0,sync_start
7518.4904,,,,0,0.0000,0.0000,0,0,sync_start
7518.5070,,,,0,0.0000,0.0000,0,0,sync_start
7518.5237,,,,0,0.0000,0.0000,0,0,sync_start
7518.5404,,,,0,0.0000,0.0000,0,0,sync_start
7518.5570,,,,0,0.0000,0.0000,0,0,sync_start
7518.5737,,,,0,0.0000,0.0000,0,0,sync_start
7518.5903,,,,0,0.0000,0.0000,0,0,sync_start
7518.6070,,,,0,0.0000,0.0000,0,0,sync_start
7518.6237,,,,0,0.0000,0.0000,0,0,sync_start
7518.6403,1.26119,-0.06765,-1.81849,1,0.0000,0.0000,0,0,sync_start
7518.6570,,,,0,0.0000,0.0000,0,0,sync_start
7518.6737,1.25989,-0.06762,-1.81789,1,0.0000,0.0000,0,0,sync_start
7518.6903,,,,0,0.0000,0.0000,0,0,sync_start
7518.7070,,,,0,0.0000,0.0000,0,0,sync_start
7518.7237,1.26017,-0.06770,2.00355,1,0.0000,0.0000,0,0,sync_start
7518.7403,,,,0,0.0000,0.0000,0,0,sync_start
7518.7570,1.25967,-0.06776,2.01202,1,0.0000,0.0000,0,0,sync_start
7518.7737,,,,0,0.0000,0.0000,0,0,sync_start
7518.7903,,,,0,0.0000,0.0000,0,0,sync_start
7518.8070,1.25243,-0.06744,-1.81599,1,0.0000,0.0000,0,0,sync_start
7518.8236,1.25121,-0.06723,1.98675,1,0.0000,0.0000,0,0,sync_start
7518.8403,,,,0,0.0000,0.0000,0,0,sync_start
7518.8570,,,,0,0.0000,0.0000,0,0,sync_start
7518.8736,1.26592,-0.06758,2.00707,1,0.0000,0.0000,0,0,sync_start
7518.8903,,,,0,0.0000,0.0000,0,0,sync_start
7518.9070,,,,0,0.0000,0.0000,0,0,sync_start
7518.9236,,,,0,0.0000,0.0000,0,0,sync_start
7518.9403,,,,0,0.0000,0.0000,0,0,sync_start
7518.9570,,,,0,0.0000,0.0000,0,0,sync_start
7518.9736,1.25556,-0.06757,1.98855,1,0.0000,0.0000,0,0,sync_start
7518.9903,,,,0,0.0000,0.0000,0,0,sync_start
7519.0070,,,,0,0.0000,0.0000,0,0,sync_start
7519.0236,,,,0,0.0000,0.0000,0,0,sync_start
7519.0403,,,,0,0.0000,0.0000,0,0,sync_start
7519.0569,1.27923,-0.06787,-1.81112,1,0.0000,0.0000,0,0,sync_start
7519.0736,1.25384,-0.06749,1.98054,1,0.0000,0.0000,0,0,sync_start
7519.0903,,,,0,0.0000,0.0000,0,0,sync_start
7519.1069,,,,0,0.0000,0.0000,0,0,sync_start
7519.1236,1.25447,-0.06742,-1.82446,1,0.0000,0.0000,0,0,sync_start
7519.1403,1.26071,-0.06763,-1.82208,1,0.0000,0.0000,0,0,sync_start
7519.1569,,,,0,0.0000,0.0000,0,0,sync_start
7519.1736,,,,0,0.0000,0.0000,0,0,sync_start
7519.1903,,,,0,0.0000,0.0000,0,0,sync_start
7519.2069,,,,0,0.0000,0.0000,0,0,sync_start
7519.2236,,,,0,0.0000,0.0000,0,0,sync_start
7519.2403,,,,0,0.0000,0.0000,0,0,idle
7519.2569,1.26361,-0.06776,2.01131,1,0.0000,0.0000,0,0,idle
7519.2736,,,,0,0.0000,0.0000,0,0,idle
7519.2902,,,,0,0.0000,0.0000,0,0,idle
7519.3069,,,,0,0.0000,0.0000,0,0,idle
7519.3236,,,,0,0.0000,0.0000,0,0,idle
7519.3402,,,,0,0.0000,0.0000,0,0,idle
7519.3569,1.25705,-0.06733,1.99555,1,0.0000,0.0000,0,0,idle
7519.3736,,,,0,0.0000,0.0000,0,0,idle
7519.3902,,,,0,0.0000,0.0000,0,0,idle
7519.4069,,,,0,0.0000,0.0000,0,0,idle
7519.4236,,,,0,0.0000,0.0000,0,0,idle
7519.4402,,,,0,0.0000,0.0000,0,0,idle
7519.4569,,,,0,0.0000,0.0000,0,0,idle
7519.4736,,,,0,0.0000,0.0000,0,0,idle
7519.4902,,,,0,0.0000,0.0000,0,0,idle
7519.5069,,,,0,0.0000,0.0000,0,0,idle
7519.5235,,,,0,0.0000,0.0000,0,0,idle
7519.5402,,,,0,0.0000,0.0000,0,0,idle
7519.5569,,,,0,0.0000,0.0000,0,0,idle
7519.5735,1.25164,-0.06753,1.99097,1,0.0000,0.0000,0,0,idle
7519.5902,,,,0,0.0000,0.0000,0,0,idle
7519.6069,,,,0,0.0000,0.0000,0,0,idle
7519.6235,1.24632,-0.06721,1.99591,1,0.0000,0.0000,0,0,idle
7519.6402,1.25616,-0.06747,-1.82280,1,0.0000,0.0000,0,0,idle
7519.6569,,,,0,0.0000,0.0000,0,0,idle
7519.6735,,,,0,0.0000,0.0000,0,0,idle
7519.6902,,,,0,0.0000,0.0000,0,0,idle
7519.7069,,,,0,0.0000,0.0000,0,0,idle
7519.7235,,,,0,0.0000,0.0000,0,0,idle
7519.7402,,,,0,0.0000,0.0000,0,0,idle
7519.7568,,,,0,0.0000,0.0000,0,0,idle
7519.7735,1.23374,-0.06687,-1.82379,1,0.0000,0.0000,0,0,idle
7519.7902,1.25715,-0.06772,-1.81842,1,0.0000,0.0000,0,0,idle
7519.8068,1.26175,-0.06780,2.00630,1,0.0000,0.0000,0,0,idle
7519.8235,,,,0,0.0000,0.0000,0,0,idle
7519.8402,,,,0,0.0000,0.0000,0,0,idle
7519.8568,1.25417,-0.06744,1.97991,1,0.0000,0.0000,0,0,idle
7519.8735,1.25734,-0.06770,-1.81585,1,0.0000,0.0000,0,0,idle
7519.8902,,,,0,0.0000,0.0000,0,0,idle
7519.9068,,,,0,0.0000,0.0000,0,0,idle
7519.9235,,,,0,0.0000,0.0000,0,0,idle
7519.9402,,,,0,0.0000,0.0000,0,0,idle
7519.9568,,,,0,0.0000,0.0000,0,0,idle
7519.9735,,,,0,0.0000,0.0000,0,0,idle
7519.9901,1.24836,-0.06745,1.97129,1,0.0000,0.0000,0,0,idle
7520.0068,,,,0,0.0000,0.0000,0,0,idle
7520.0235,,,,0,0.0000,0.0000,0,0,idle
7520.0401,,,,0,0.0000,0.0000,0,0,idle
7520.0568,1.21699,-0.06646,-1.82259,1,0.0000,0.0000,0,0,idle
7520.0735,1.26416,-0.06761,-1.80665,1,0.0000,0.0000,0,0,idle
7520.0901,1.23679,-0.06663,-1.81561,1,0.0000,0.0000,0,0,idle
7520.1068,,,,0,0.0000,0.0000,0,0,idle
7520.1235,1.25780,-0.06778,2.00534,1,0.0000,0.0000,0,0,idle
7520.1401,1.23638,-0.06673,-1.82162,1,0.0000,0.0000,0,0,idle
7520.1568,,,,0,0.0000,0.0000,0,0,idle
7520.1735,1.23374,-0.06649,-1.81706,1,0.0000,0.0000,0,0,idle
7520.1901,,,,0,0.0000,0.0000,0,0,idle
7520.2068,1.25489,-0.06725,-1.83032,1,0.0000,0.0000,0,0,idle
7520.2234,,,,0,0.0000,0.0000,0,0,idle
7520.2401,,,,0,0.0000,0.0000,0,0,idle
7520.2568,,,,0,0.0000,0.0000,0,0,idle
7520.2734,1.26049,-0.06742,-1.82797,1,0.0000,0.0000,0,0,idle
7520.2901,1.26332,-0.06722,1.99264,1,0.0000,0.0000,0,0,idle
7520.3068,,,,0,0.0000,0.0000,0,0,idle
7520.3234,,,,0,0.0000,0.0000,0,0,idle
7520.3401,,,,0,0.0000,0.0000,0,0,idle
7520.3568,1.27604,-0.06841,1.98355,1,0.0000,0.0000,0,0,idle
7520.3734,,,,0,0.0000,0.0000,0,0,idle
7520.3901,1.22590,-0.06630,-1.80509,1,0.0000,0.0000,0,0,idle
7520.4068,,,,0,0.0000,0.0000,0,0,idle
7520.4234,,,,0,0.0000,0.0000,0,0,idle
7520.4401,,,,0,0.0000,0.0000,0,0,idle
7520.4567,,,,0,0.0000,0.0000,0,0,idle
7520.4734,,,,0,0.0000,0.0000,0,0,idle
7520.4901,,,,0,0.0000,0.0000,0,0,idle
7520.5067,1.24989,-0.06724,-1.82555,1,0.0000,0.0000,0,0,idle
7520.5234,1.22690,-0.06645,-1.81735,1,0.0000,0.0000,0,0,idle
7520.5401,,,,0,0.0000,0.0000,0,0,idle
7520.5567,1.25344,-0.06744,1.98614,1,0.0000,0.0000,0,0,idle
7520.5734,1.26814,-0.06741,2.02864,1,0.0000,0.0000,0,0,idle
7520.5901,,,,0,0.0000,0.0000,0,0,idle
7520.6067,,,,0,0.0000,0.0000,0,0,idle
7520.6234,,,,0,0.0000,0.0000,0,0,idle
7520.6401,,,,0,0.0000,0.0000,0,0,idle
7520.6567,,,,0,0.0000,0.0000,0,0,idle
7520.6734,,,,0,0.0000,0.0000,0,0,idle
7520.6900,,,,0,0.0000,0.0000,0,0,idle
7520.7067,1.26429,-0.06765,-1.81742,1,0.0000,0.0000,0,0,idle
7520.7234,,,,0,0.0000,0.0000,0,0,idle
7520.7400,1.23124,-0.06663,-1.82614,1,0.0000,0.0000,0,0,idle
7520.7567,,,,0,0.0000,0.0000,0,0,idle
7520.7734,1.22325,-0.06642,-1.81442,1,0.0000,0.0000,0,0,idle
7520.7900,,,,0,0.0000,0.0000,0,0,idle
7520.8067,,,,0,0.0000,0.0000,0,0,idle
7520.8234,,,,0,0.0000,0.0000,0,0,idle
7520.8400,,,,0,0.0000,0.0000,0,0,idle
7520.8567,,,,0,0.0000,0.0000,0,0,idle
7520.8734,1.25714,-0.06761,-1.81750,1,0.0000,0.0000,0,0,idle
7520.8900,,,,0,0.0000,0.0000,0,0,idle
7520.9067,1.26034,-0.06728,-1.80569,1,0.0000,0.0000,0,0,idle
7520.9233,1.26637,-0.06743,-1.79843,1,0.0000,0.0000,0,0,idle
7520.9400,,,,0,0.0000,0.0000,0,0,idle
7520.9567,1.25117,-0.06712,1.95641,1,0.0000,0.0000,0,0,idle
7520.9733,1.24975,-0.06695,-1.81872,1,0.0000,0.0000,0,0,idle
7520.9900,,,,0,0.0000,0.0000,0,0,idle
7521.0067,,,,0,0.0000,0.0000,0,0,idle
7521.0233,,,,0,0.0000,0.0000,0,0,idle
7521.0400,,,,0,0.0000,0.0000,0,0,idle
