stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
point_cloud_field_filter.compute_field,1,163.168,163.168,163.168,163.168,473.458
point_cloud_field_filter.find_minimum_rectangle,1,112.839,112.839,112.839,112.839,327.421
pipeline.latency,1690,99.946,103.061,119.946,452.255,
ros_publisher.publish_initial_field_description,1,88.216,88.216,88.216,88.216,255.973
runner.tick,1690,34.463,33.257,44.114,456.275,100.000
ros_publisher.publish_field_mask,1,27.775,27.775,27.775,27.775,80.594
deeplab_mask_model.update,1,27.228,27.228,27.228,27.228,79.006
point_cloud_field_filter.fit_plane_ransac,1,20.376,20.376,20.376,20.376,59.124
runner.keypoint_model.update,1690,11.490,10.511,17.611,26.738,33.340
yolo_keypoint_model.update,1690,11.481,10.502,17.606,26.733,33.314
runner.robot_mask_model.update,1690,10.989,9.759,18.062,28.476,31.886
yolo_bbox_robot_blob_model.update,1690,10.982,9.753,18.057,28.470,31.867
runner.publishers,1690,10.086,9.544,13.686,22.643,29.266
ros_publisher.publish_camera_data,1690,9.904,9.361,13.483,22.523,28.737
point_cloud_field_filter.create_point_cloud_from_depth,1,7.554,7.554,7.554,7.554,21.919
point_cloud_field_filter.plane_center_from_inliers,1,6.306,6.306,6.306,6.306,18.298
point_cloud_field_filter.transform_points,1,6.034,6.034,6.034,6.034,17.509
point_cloud_field_filter.mask_depth_image,1,2.796,2.796,2.796,2.796,8.113
point_cloud_field_filter.find_largest_contour_mask,1,2.647,2.647,2.647,2.647,7.681
point_cloud_field_filter.point_cloud_to_2d,1,2.280,2.280,2.280,2.280,6.616
point_cloud_field_filter.extract_inliers,1,1.925,1.925,1.925,1.925,5.586
runner.camera.get,1690,1.073,0.015,5.990,115.264,3.114
runner.robot_filter.update,1690,0.092,0.073,0.105,3.953,0.266
ros_publisher.publish_robots,1690,0.075,0.054,0.136,4.857,0.219
ros_publisher.publish_navigation,1690,0.039,0.031,0.061,1.141,0.114
ros_publisher.publish_blob_detections,1690,0.034,0.024,0.049,3.869,0.099
ros_publisher.publish_keypoint_detections,1690,0.032,0.009,0.041,4.213,0.094
runner.field_filter.track_field,1690,0.018,0.012,0.032,4.550,0.052
ros_publisher.publish_field_description,1690,0.012,0.010,0.012,1.013,0.035
point_cloud_field_filter.get_rectangle_angle,1,0.006,0.006,0.006,0.006,0.017
