stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
point_cloud_field_filter.compute_field,1,99.496,99.496,99.496,99.496,316.546
pipeline.latency,3639,75.390,74.247,82.751,281.564,
point_cloud_field_filter.find_minimum_rectangle,1,65.261,65.261,65.261,65.261,207.628
ros_publisher.publish_initial_field_description,1,65.169,65.169,65.169,65.169,207.335
runner.tick,3639,31.432,31.382,37.924,286.046,100.000
deeplab_mask_model.update,1,18.233,18.233,18.233,18.233,58.008
ros_publisher.publish_field_mask,1,16.697,16.697,16.697,16.697,53.121
point_cloud_field_filter.fit_plane_ransac,1,13.699,13.699,13.699,13.699,43.583
runner.perception_batch.update,3639,12.985,12.491,16.153,45.252,41.311
runner.keypoint_model.update,3639,12.288,12.026,14.924,34.995,39.095
yolo_keypoint_model.update,3639,12.281,12.018,14.918,34.986,39.072
runner.robot_mask_model.update,3639,11.964,11.711,14.519,41.593,38.062
yolo_bbox_robot_blob_model.update,3639,11.956,11.701,14.509,41.586,38.037
runner.publishers,3639,10.337,9.727,13.931,19.874,32.886
ros_publisher.publish_camera_data,3639,10.163,9.563,13.750,19.614,32.332
runner.camera.get,3639,7.437,7.848,12.495,59.089,23.662
point_cloud_field_filter.transform_points,1,6.888,6.888,6.888,6.888,21.914
point_cloud_field_filter.create_point_cloud_from_depth,1,5.896,5.896,5.896,5.896,18.758
point_cloud_field_filter.point_cloud_to_2d,1,2.410,2.410,2.410,2.410,7.667
point_cloud_field_filter.extract_inliers,1,1.446,1.446,1.446,1.446,4.600
point_cloud_field_filter.find_largest_contour_mask,1,1.433,1.433,1.433,1.433,4.559
point_cloud_field_filter.mask_depth_image,1,1.357,1.357,1.357,1.357,4.317
point_cloud_field_filter.plane_center_from_inliers,1,0.729,0.729,0.729,0.729,2.319
runner.robot_filter.update,3639,0.090,0.081,0.114,4.188,0.287
ros_publisher.publish_robots,3639,0.070,0.053,0.130,3.823,0.224
ros_publisher.publish_navigation,3639,0.039,0.031,0.058,2.146,0.125
ros_publisher.publish_keypoint_detections,3639,0.038,0.009,0.042,3.543,0.121
ros_publisher.publish_blob_detections,3639,0.028,0.024,0.044,1.615,0.090
runner.field_filter.track_field,3639,0.025,0.017,0.049,2.409,0.079
ros_publisher.publish_field_description,3639,0.011,0.010,0.012,1.250,0.034
point_cloud_field_filter.get_rectangle_angle,1,0.005,0.005,0.005,0.005,0.016
