stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
pipeline.latency,7143,135.746,134.535,149.664,185.853,
point_cloud_field_filter.compute_field,1,30.860,30.860,30.860,30.860,118.053
runner.tick,7154,26.141,26.287,41.946,166.450,100.000
point_cloud_field_filter.fit_plane_ransac,1,16.379,16.379,16.379,16.379,62.657
ros_publisher.publish_initial_field_description,1,12.179,12.179,12.179,12.179,46.590
runner.camera.get,7154,11.378,11.712,23.284,100.017,43.524
point_cloud_field_filter.find_minimum_rectangle,1,10.722,10.722,10.722,10.722,41.016
runner.perception_batch.update,7143,8.921,8.345,13.989,24.316,34.126
runner.keypoint_model.update,7143,8.255,7.752,13.264,24.143,31.581
yolo_keypoint_model.update,7143,8.251,7.749,13.258,24.138,31.565
runner.robot_mask_model.update,7143,8.100,7.590,13.145,24.062,30.984
yolo_bbox_robot_blob_model.update,7143,8.095,7.585,13.140,24.055,30.968
deeplab_mask_model.update,1,5.976,5.976,5.976,5.976,22.861
runner.publishers,7143,5.704,5.160,10.294,20.585,21.820
ros_publisher.publish_camera_data,7154,5.651,5.115,10.216,20.501,21.618
ros_publisher.publish_field_mask,1,5.389,5.389,5.389,5.389,20.615
point_cloud_field_filter.create_point_cloud_from_depth,1,1.265,1.265,1.265,1.265,4.839
point_cloud_field_filter.transform_points,1,0.861,0.861,0.861,0.861,3.294
point_cloud_field_filter.mask_depth_image,1,0.445,0.445,0.445,0.445,1.702
point_cloud_field_filter.extract_inliers,1,0.441,0.441,0.441,0.441,1.687
point_cloud_field_filter.find_largest_contour_mask,1,0.314,0.314,0.314,0.314,1.201
point_cloud_field_filter.point_cloud_to_2d,1,0.187,0.187,0.187,0.187,0.715
point_cloud_field_filter.plane_center_from_inliers,1,0.118,0.118,0.118,0.118,0.451
runner.robot_filter.update,7143,0.065,0.060,0.113,0.283,0.248
ros_publisher.publish_robots,7143,0.024,0.018,0.048,1.207,0.091
runner.field_filter.track_field,7143,0.017,0.015,0.030,0.241,0.063
ros_publisher.publish_blob_detections,7143,0.013,0.010,0.027,0.708,0.048
ros_publisher.publish_navigation,7143,0.013,0.008,0.029,1.157,0.048
ros_publisher.publish_keypoint_detections,7143,0.005,0.004,0.014,0.345,0.020
ros_publisher.publish_field_description,7143,0.005,0.004,0.011,0.942,0.020
point_cloud_field_filter.get_rectangle_angle,1,0.000,0.000,0.000,0.000,0.000
