stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
point_cloud_field_filter.compute_field,1,36.385,36.385,36.385,36.385,138.933
runner.tick,8312,26.189,26.816,41.592,141.874,100.000
ros_publisher.publish_initial_field_description,1,16.721,16.721,16.721,16.721,63.848
point_cloud_field_filter.find_minimum_rectangle,1,15.804,15.804,15.804,15.804,60.346
point_cloud_field_filter.fit_plane_ransac,1,15.140,15.140,15.140,15.140,57.811
runner.camera.get,8312,12.610,13.317,24.455,64.168,48.150
ros_publisher.publish_field_mask,1,10.021,10.021,10.021,10.021,38.264
deeplab_mask_model.update,1,8.846,8.846,8.846,8.846,33.778
runner.perception_batch.update,8301,7.844,7.444,12.419,21.309,29.953
runner.keypoint_model.update,8301,7.337,6.894,11.855,20.624,28.016
yolo_keypoint_model.update,8301,7.333,6.890,11.851,20.618,28.001
runner.robot_mask_model.update,8301,7.009,6.573,11.207,21.145,26.763
yolo_bbox_robot_blob_model.update,8301,7.004,6.569,11.204,21.141,26.744
runner.publishers,8301,5.597,5.063,10.286,24.334,21.370
ros_publisher.publish_camera_data,8312,5.545,5.015,10.230,24.174,21.172
point_cloud_field_filter.create_point_cloud_from_depth,1,1.633,1.633,1.633,1.633,6.235
point_cloud_field_filter.transform_points,1,1.314,1.314,1.314,1.314,5.017
point_cloud_field_filter.extract_inliers,1,1.019,1.019,1.019,1.019,3.891
point_cloud_field_filter.mask_depth_image,1,0.483,0.483,0.483,0.483,1.844
point_cloud_field_filter.find_largest_contour_mask,1,0.384,0.384,0.384,0.384,1.466
point_cloud_field_filter.point_cloud_to_2d,1,0.306,0.306,0.306,0.306,1.168
point_cloud_field_filter.plane_center_from_inliers,1,0.154,0.154,0.154,0.154,0.588
runner.robot_filter.update,8301,0.061,0.056,0.112,0.343,0.231
ros_publisher.publish_robots,8301,0.025,0.020,0.051,0.727,0.095
runner.field_filter.track_field,8301,0.015,0.013,0.026,0.223,0.057
ros_publisher.publish_navigation,8301,0.012,0.009,0.029,1.142,0.047
ros_publisher.publish_blob_detections,8301,0.012,0.009,0.026,0.138,0.044
ros_publisher.publish_keypoint_detections,8301,0.006,0.004,0.014,0.685,0.021
ros_publisher.publish_field_description,8301,0.005,0.004,0.012,0.490,0.020
point_cloud_field_filter.get_rectangle_angle,1,0.000,0.000,0.000,0.000,0.000
pipeline.latency,8301,-98.539,-99.450,-85.630,-24.609,
