stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
runner.tick,6131,26.175,27.096,41.233,141.197,100.000
point_cloud_field_filter.compute_field,1,25.980,25.980,25.980,25.980,99.253
ros_publisher.publish_initial_field_description,1,16.257,16.257,16.257,16.257,62.108
point_cloud_field_filter.find_minimum_rectangle,1,14.137,14.137,14.137,14.137,54.009
runner.camera.get,6131,12.311,13.193,23.758,70.956,47.033
ros_publisher.publish_field_mask,1,11.766,11.766,11.766,11.766,44.950
deeplab_mask_model.update,1,7.451,7.451,7.451,7.451,28.466
point_cloud_field_filter.fit_plane_ransac,1,6.871,6.871,6.871,6.871,26.250
runner.keypoint_model.update,6119,5.492,4.995,9.264,14.623,20.983
yolo_keypoint_model.update,6119,5.490,4.992,9.258,14.618,20.973
runner.publishers,6119,4.320,4.056,6.801,15.130,16.503
ros_publisher.publish_camera_data,6131,4.288,4.015,6.776,15.101,16.382
runner.robot_mask_model.update,6119,3.956,3.685,6.174,14.117,15.114
yolo_bbox_robot_blob_model.update,6119,3.953,3.681,6.166,14.106,15.102
point_cloud_field_filter.create_point_cloud_from_depth,1,1.379,1.379,1.379,1.379,5.268
point_cloud_field_filter.transform_points,1,1.193,1.193,1.193,1.193,4.558
point_cloud_field_filter.extract_inliers,1,0.867,0.867,0.867,0.867,3.312
point_cloud_field_filter.mask_depth_image,1,0.521,0.521,0.521,0.521,1.990
point_cloud_field_filter.find_largest_contour_mask,1,0.480,0.480,0.480,0.480,1.834
point_cloud_field_filter.point_cloud_to_2d,1,0.247,0.247,0.247,0.247,0.944
point_cloud_field_filter.plane_center_from_inliers,1,0.145,0.145,0.145,0.145,0.554
runner.robot_filter.update,6119,0.030,0.027,0.058,0.159,0.113
ros_publisher.publish_robots,6119,0.018,0.014,0.039,0.935,0.069
runner.field_filter.track_field,6119,0.014,0.012,0.028,0.336,0.054
ros_publisher.publish_navigation,6119,0.011,0.007,0.024,0.665,0.040
ros_publisher.publish_blob_detections,6119,0.008,0.007,0.019,0.310,0.032
ros_publisher.publish_field_description,6119,0.004,0.003,0.011,0.309,0.017
ros_publisher.publish_keypoint_detections,6119,0.002,0.001,0.008,0.347,0.009
point_cloud_field_filter.get_rectangle_angle,1,0.000,0.000,0.000,0.000,0.000
pipeline.latency,6119,-143.120,-144.144,-130.712,-73.643,
