quantity,n,mean,median,p90,p95,max
centroid_to_boxcenter_px,817,4.270635817267278,2.754219041131212,9.585974717465474,13.135356647267992,31.480525653277326
centroid_to_boxcenter_norm,817,0.02920478190024429,0.024750482634277836,0.053286263368851026,0.06558775772213485,0.17737146923185387
mask_fill_frac,817,0.7523298054197987,0.7583029304821347,0.8903610746996349,0.9162530657349299,0.9688355385639033
err_gtbox_centroid_norm,741,0.0494774049835394,0.039300548420975225,0.09274997284697235,0.12743738990749248,0.31930189708041584
err_gtbox_seg_boxcenter_norm,741,0.04244053145157298,0.03141752341246717,0.08798467028552426,0.12698170127077013,0.29521577972014706
err_gtbox_bbox_model_norm,865,0.04136869636207836,0.030924846429871995,0.07881489443798965,0.11267336473344644,0.3418454651594577
err_kpmid_centroid_norm,741,0.10772603278974743,0.08451065440202322,0.20865645509138928,0.22924257483970759,0.523550137488191
err_kpmid_seg_boxcenter_norm,741,0.11254064777429058,0.09077294992613266,0.21307008442212186,0.23543810132376286,0.5917033112015919
err_kpmid_bbox_model_norm,865,0.1082503764064741,0.0877342463691922,0.20383356596710167,0.22906121725810852,0.5975636680003905
err_kpmid_gt_boxcenter_norm,1026,0.10681185452675565,0.08766985364081153,0.2019738765780816,0.23203354530733758,0.7058061976327086
err_gtbox_centroid_px,741,6.657985690280186,4.698515749382577,13.533360628650518,19.009090217930858,63.212189107914604
err_gtbox_seg_boxcenter_px,741,5.282203865290814,3.589601974193741,10.360494028591058,15.41173111445277,66.49851639464066
err_gtbox_bbox_model_px,865,4.886316500684131,3.622813737600195,9.596763401415512,12.324718432782237,46.07582646050976
err_kpmid_centroid_px,741,16.08810256686161,9.913961823241548,39.39485832092248,48.60105385923074,133.66145274197544
err_kpmid_seg_boxcenter_px,741,17.289600212910663,11.102969239202933,41.94218121501198,52.504029119168436,157.08520234990306
err_kpmid_bbox_model_px,865,15.847991995324286,9.628527961056909,36.69192586629089,49.725120939800405,160.75225387997148
err_kpmid_gt_boxcenter_px,1026,15.446977579551668,9.691688549369374,34.30457883797236,47.21925079956295,159.29983159845463
