stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
pipeline.latency,1192,154.136,154.498,178.448,189.842,
runner.tick,1192,59.082,58.686,63.754,68.792,100.000
runner.perception_batch.update,1192,57.586,57.074,62.293,67.502,97.467
runner.robot_mask_model.update,1192,57.275,56.807,61.682,66.663,96.942
yolo_bbox_robot_blob_model.update,1192,57.270,56.802,61.675,66.657,96.932
yolo_bbox_robot_blob_model.inference,1192,50.893,50.569,54.810,58.667,86.139
runner.keypoint_model.update,1192,40.466,40.501,47.365,57.487,68.491
yolo_keypoint_model.update,1192,40.459,40.493,47.359,57.481,68.480
yolo_keypoint_model.inference,1192,33.677,33.851,39.542,47.078,57.000
yolo_keypoint_model.preprocess,1192,6.422,6.187,9.128,12.515,10.869
yolo_bbox_robot_blob_model.preprocess,1192,6.223,5.989,8.582,12.626,10.533
runner.keypoint_filter,1192,0.549,0.551,0.759,3.899,0.929
yolo_keypoint_model.postprocess,1192,0.298,0.250,0.481,1.604,0.504
runner.publishers,1192,0.226,0.210,0.267,1.348,0.382
runner.control_loop.advance,1192,0.160,0.147,0.286,0.543,0.271
runner.camera.get,1192,0.115,0.012,0.034,5.334,0.194
runner.robot_filter.update,1192,0.102,0.099,0.127,0.240,0.172
yolo_bbox_robot_blob_model.postprocess,1192,0.097,0.070,0.139,3.977,0.164
ros_publisher.publish_camera_data,1192,0.065,0.061,0.082,0.190,0.110
ros_publisher.publish_hazards,1192,0.036,0.035,0.047,0.169,0.061
ros_publisher.publish_robots,1192,0.035,0.029,0.042,1.101,0.059
ros_publisher.publish_navigation,1192,0.023,0.021,0.028,0.883,0.039
ros_publisher.publish_blob_detections,1192,0.022,0.019,0.038,0.750,0.037
ros_publisher.publish_field_description,1192,0.014,0.012,0.014,0.951,0.024
runner.field_filter.track_field,1192,0.012,0.011,0.016,0.798,0.021
ros_publisher.publish_keypoint_detections,1192,0.011,0.009,0.011,0.700,0.018
