stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
pipeline.latency,2452,64.648,64.147,68.197,84.714,
runner.tick,2452,32.683,32.885,36.386,63.693,100.000
runner.camera.get,2452,18.485,18.817,21.439,49.941,56.557
runner.perception_batch.update,2452,12.804,12.576,14.340,27.536,39.175
runner.keypoint_model.update,2452,12.686,12.482,14.203,27.473,38.816
yolo_keypoint_model.update,2452,12.681,12.477,14.197,27.465,38.798
runner.robot_mask_model.update,2452,11.359,11.244,13.203,16.895,34.754
yolo_bbox_robot_blob_model.update,2452,11.352,11.239,13.197,16.890,34.734
yolo_bbox_robot_blob_model.inference,2452,7.928,7.827,9.117,13.328,24.256
yolo_keypoint_model.inference,2452,7.169,7.005,8.798,20.389,21.936
yolo_keypoint_model.preprocess,2452,5.217,5.166,6.121,8.809,15.961
yolo_bbox_robot_blob_model.preprocess,2452,3.325,3.337,4.268,6.217,10.173
runner.keypoint_filter,2452,0.565,0.571,0.750,3.620,1.729
yolo_keypoint_model.postprocess,2452,0.243,0.217,0.291,5.013,0.744
runner.publishers,2452,0.228,0.212,0.262,1.610,0.699
runner.control_loop.advance,2452,0.157,0.147,0.192,3.227,0.480
runner.robot_filter.update,2452,0.104,0.101,0.125,1.003,0.317
ros_publisher.publish_camera_data,2452,0.067,0.062,0.081,1.169,0.204
yolo_bbox_robot_blob_model.postprocess,2452,0.055,0.053,0.062,0.850,0.167
ros_publisher.publish_hazards,2452,0.038,0.036,0.046,0.856,0.115
ros_publisher.publish_robots,2452,0.034,0.029,0.036,0.976,0.104
ros_publisher.publish_blob_detections,2452,0.025,0.020,0.040,0.942,0.077
ros_publisher.publish_navigation,2452,0.023,0.021,0.026,1.002,0.071
runner.field_filter.track_field,2452,0.022,0.017,0.060,0.116,0.067
ros_publisher.publish_field_description,2452,0.012,0.012,0.014,0.149,0.037
ros_publisher.publish_keypoint_detections,2452,0.010,0.009,0.011,0.846,0.030
