stage,count,mean_ms,median_ms,p95_ms,max_ms,pct_tick
pipeline.latency,1971,63.154,62.972,65.565,95.430,
runner.tick,1971,32.702,32.908,35.539,42.125,100.000
runner.camera.get,1971,19.828,20.111,22.456,29.137,60.633
runner.perception_batch.update,1971,11.498,11.344,12.550,30.311,35.161
runner.keypoint_model.update,1971,11.401,11.260,12.467,30.247,34.862
yolo_keypoint_model.update,1971,11.395,11.255,12.460,30.242,34.844
runner.robot_mask_model.update,1971,9.111,8.956,10.955,24.607,27.862
yolo_bbox_robot_blob_model.update,1971,9.106,8.950,10.949,24.602,27.844
yolo_keypoint_model.inference,1971,5.983,5.870,7.143,21.813,18.295
yolo_bbox_robot_blob_model.inference,1971,5.780,5.648,6.827,21.376,17.675
yolo_keypoint_model.preprocess,1971,5.134,5.064,5.907,8.133,15.698
yolo_bbox_robot_blob_model.preprocess,1971,3.233,3.188,4.049,7.297,9.887
runner.keypoint_filter,1971,0.560,0.567,0.761,1.645,1.711
yolo_keypoint_model.postprocess,1971,0.230,0.214,0.279,1.161,0.702
runner.publishers,1971,0.224,0.213,0.258,2.222,0.686
runner.control_loop.advance,1971,0.150,0.142,0.184,0.406,0.460
runner.robot_filter.update,1971,0.097,0.094,0.119,0.199,0.297
ros_publisher.publish_camera_data,1971,0.064,0.061,0.081,0.146,0.197
yolo_bbox_robot_blob_model.postprocess,1971,0.052,0.051,0.060,0.144,0.158
ros_publisher.publish_hazards,1971,0.036,0.035,0.044,0.119,0.110
ros_publisher.publish_robots,1971,0.034,0.029,0.036,1.078,0.103
ros_publisher.publish_navigation,1971,0.025,0.022,0.030,1.032,0.075
ros_publisher.publish_blob_detections,1971,0.023,0.020,0.039,0.932,0.071
runner.field_filter.track_field,1971,0.021,0.017,0.057,0.090,0.065
ros_publisher.publish_field_description,1971,0.013,0.012,0.014,0.910,0.039
ros_publisher.publish_keypoint_detections,1971,0.011,0.009,0.012,2.007,0.032
