candidate,level,median_ms,mean_ms,p90_ms,dets
n,pre,1.7964,1.7978,1.8201,
n,gpu,5.3511,5.355,5.3767,
n,total,9.0322,9.0418,9.0878,2
n,post,,1.8889,,
s,pre,1.7665,1.7659,1.7868,
s,gpu,8.1102,8.1139,8.1396,
s,total,11.9044,12.0458,12.2897,2
s,post,,2.1661,,
m,pre,1.7599,1.7605,1.776,
m,gpu,14.4727,14.4731,14.4976,
m,total,18.5043,18.4277,18.5916,3
m,post,,2.1941,,
l,pre,1.7565,1.7671,1.7782,
l,gpu,18.3264,18.3301,18.3567,
l,total,22.2517,22.2167,22.3153,1
l,post,,2.1194,,
x,pre,1.7557,1.7556,1.7715,
x,gpu,33.0901,33.0058,33.1269,
x,total,37.0564,36.9253,37.1246,2
x,post,,2.1639,,
