candidate,level,median_ms,mean_ms,p90_ms,dets
x384x640,pre,3.3896,3.3916,3.4187,
x384x640,gpu,20.5994,20.6466,20.6496,
x384x640,total,26.4481,26.526,27.1349,2
x384x640,post,,2.4878,,
x416x640,pre,3.8638,3.9706,4.2948,
x416x640,gpu,23.7599,24.0624,24.5036,
x416x640,total,31.0953,30.9646,31.3476,2
x416x640,post,,2.9315,,
x640x640,pre,5.1217,5.1805,5.4113,
x640x640,gpu,34.1249,34.0596,34.1764,
x640x640,total,42.6391,42.7458,43.2877,2
x640x640,post,,3.5058,,
x768x1280,pre,9.2074,9.237,9.2691,
x768x1280,gpu,75.3614,75.4023,76.2365,
x768x1280,total,91.3548,91.5026,92.4262,2
x768x1280,post,,6.8633,,
