candidate,level,median_ms,mean_ms,p90_ms,dets
x384x640,pre,3.3809,3.3838,3.4159,
x384x640,gpu,20.7156,20.8324,21.415,
x384x640,total,25.7683,25.9747,26.4855,2
x384x640,post,,1.7585,,
x416x640,pre,3.842,3.9509,4.2893,
x416x640,gpu,24.3638,24.0804,24.4119,
x416x640,total,31.0979,30.9648,31.5517,2
x416x640,post,,2.9335,,
x640x640,pre,4.4172,4.5262,4.9802,
x640x640,gpu,34.1781,34.1696,34.2555,
x640x640,total,42.7311,42.9167,43.3699,2
x640x640,post,,4.221,,
x768x1280,pre,9.2959,9.4056,9.8463,
x768x1280,gpu,75.0719,75.561,76.3839,
x768x1280,total,91.3806,91.351,92.2665,2
x768x1280,post,,6.3844,,
