gap_frames,gap_ms
30,791.1
6,151.3
2,49.5
1,35.3
1,31.9
5,137.5
10,276.4
1,15.2
1,22.6
3,91.1
4,105.2
14,367.7
1,17.5
3,80.4
1,17.5
1,27.8
1,28.9
1,30.2
1,41.2
1,18.0
5,135.9
1,16.0
1,16.6
1,17.1
1,27.2
15,397.6
2,51.3
6,149.1
7,174.4
3,70.8
1,33.9
12,326.1
5,123.0
5,115.2
5,129.7
5,118.6
3,64.6
9,214.7
2,50.4
6,144.5
1,19.3
1,15.3
6,176.6
9,214.3
13,327.4
4,104.9
6,149.0
2,51.4
46,1182.7
6,174.0
1,37.6
1,30.4
7,178.5
1,19.9
1,15.0
6,153.6
1,14.6
1,15.3
3,61.5
12,308.1
5,148.1
1,33.1
7,176.3
2,55.3
1,28.4
6,146.9
2,48.1
1,44.0
1,28.9
1,14.4
1,30.3
7,180.6
11,298.1
9,223.5
6,148.5
8,195.1
1,28.2
1,20.5
1,15.2
7,159.5
5,117.2
1,40.5
4,100.5
1,14.1
1,14.1
1,13.5
1,32.7
1,16.7
3,66.8
4,117.9
20,527.3
6,150.9
15,412.7
1,13.2
1,35.9
9,241.0
4,97.5
9,233.7
6,182.5
17,446.2
5,117.4
2,48.1
5,123.5
2,50.0
1,16.1
5,116.0
3,63.3
1,17.8
1,23.5
5,120.6
6,154.9
6,168.2
1,35.7
1,34.3
18,458.8
5,116.5
7,208.7
6,156.2
8,219.7
5,121.2
1,32.6
16,411.6
4,128.0
1,24.1
29,773.3
1,16.3
1,30.0
5,115.7
10,246.6
2,52.4
1,36.1
1,36.6
1,13.8
3,85.1
3,67.2
1,32.4
1,22.6
4,100.0
1,20.5
2,48.5
1,17.8
2,50.4
8,218.1
1,20.1
2,72.2
1,29.6
1,14.4
2,51.8
1,32.7
1,20.4
1,17.9
5,120.0
1,17.6
1,47.2
1,36.7
14,353.9
1,29.5
6,174.7
6,151.0
3,82.5
7,180.2
5,137.5
5,116.3
5,118.5
9,237.7
11,286.6
1,37.7
6,148.8
1,14.1
1,14.9
5,129.6
16,431.3
16,422.3
1,17.9
7,207.1
2,48.0
49,1250.9
7,203.6
5,116.2
1,15.8
8,198.3
5,113.6
1,16.8
7,185.6
5,140.4
2,52.2
2,48.0
19,480.2
5,114.8
1,15.6
1,15.9
5,114.2
5,119.3
1,31.0
4,99.4
1,16.9
1,18.3
2,49.6
7,185.3
5,129.6
1,16.9
1,16.2
6,150.0
1,26.7
10,272.7
8,211.0
7,167.8
6,150.2
1,19.5
2,70.9
7,171.8
1,33.5
11,261.6
3,66.8
1,17.0
2,75.0
3,65.5
1,15.6
1,61.3
1,31.0
1,31.5
16,427.8
1,27.7
5,145.3
4,97.2
1,20.6
10,267.6
1,27.0
5,133.5
4,107.0
2,49.9
8,200.1
1,17.9
5,113.3
6,159.2
10,266.0
5,122.6
5,140.2
1,37.7
1,31.3
5,145.7
1,36.2
1,34.3
2,51.9
3,79.9
2,51.6
1,17.0
1,18.7
5,122.7
6,176.5
1,31.2
4,100.8
1,14.4
18,444.9
5,128.3
7,171.9
6,153.0
8,200.8
1,26.0
7,198.2
5,137.9
8,203.9
6,177.5
5,140.1
1,15.5
48,1964.7
2,91.6
14,564.1
1,36.8
1,38.3
1,13.6
9,404.8
1,20.7
3,145.9
1,87.1
1,35.6
4,188.0
1,25.9
5,184.6
1,87.6
2,55.4
6,205.7
2,72.7
2,71.1
1,12.8
1,113.8
