# auto-battlebot velocity jig command log
# columns: t_host_s,linear,angular,trim,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=lin_coast run=LOG-36.TXT
223723.536592,0.6000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223723.556787,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.577053,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.597207,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.617289,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.637385,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.657656,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.677875,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.698035,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.718216,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.738428,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.758665,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.778838,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.799074,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.819170,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.839267,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.859471,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.879566,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.899751,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.919963,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.940217,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.960380,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223723.980539,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223724.000680,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223724.020929,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223724.041185,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223724.061348,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223724.081439,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223724.101536,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223724.121778,0.6000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223724.141979,0.0000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223724.162121,0.0000,0.0000,0.0000,0.0000,-0.5859,-1.0000
223724.182388,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.202589,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.222741,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.242941,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.263162,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.283414,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.303585,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.323745,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.343830,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.363986,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.384136,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.404313,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.424494,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.444750,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.464947,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.485160,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.505411,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.525488,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.545580,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.565827,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.586079,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.606150,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.626409,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.646499,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.666740,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.686886,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.707046,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.727178,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.747271,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.767362,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.787571,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.807778,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.827988,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.848143,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.868391,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.888688,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.908948,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.929044,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.949126,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.969388,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223724.989464,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.009542,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.029747,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.049990,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.070154,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.090237,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.110327,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.130583,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.150776,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.170989,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.191164,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.211399,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.231491,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.251752,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.271918,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.292176,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.312355,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.332448,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.352601,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.372773,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.392983,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.413238,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.433466,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.453686,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.473931,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.494221,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.514328,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.534424,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.554630,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.574831,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.595096,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.615348,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.635521,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.655682,-0.6000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223725.675830,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.696027,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.716182,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.736273,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.756432,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.776682,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.796889,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.817114,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.837281,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.857465,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.877682,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.897950,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.918102,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.938176,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.958255,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.978450,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223725.998542,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.018634,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.038838,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.059058,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.079217,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.099478,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.119737,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.139989,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.160216,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.180310,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.200568,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.220751,-0.6000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.241062,0.0000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.261146,0.0000,0.0000,0.0000,0.0000,0.5859,-1.0000
223726.281410,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.301635,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.321852,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.342000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.362086,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.382242,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.402328,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.422404,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.442497,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.462590,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.482673,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.502875,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.523101,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.543195,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.563440,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.583685,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.603872,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.624160,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.644262,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.664513,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.684813,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.705227,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.725470,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.745651,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.765908,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.786122,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
223726.806224,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
