# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=lin_deadzone run=LOG-57.TXT
# meas_linear/meas_angular re-derived from the channels with read_invert_a=false read_invert_b=true
499.160711,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
499.180881,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.201101,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.221282,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.241370,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.261548,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.281641,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.301794,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.321958,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.342120,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.362202,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.382294,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.402387,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.422570,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.442772,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.463045,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.483128,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.503224,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.523402,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.543560,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.563774,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.584042,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.604211,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.624380,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.644545,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.664637,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.684717,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.704868,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
499.725039,0.0100,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
