# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=ang_deadzone run=LOG-65.TXT
3943.127521,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
3943.147745,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
3943.168051,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.188230,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.208322,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.228522,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.248683,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.268891,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.289127,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.309322,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.329609,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.349868,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.370124,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.390206,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.410467,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.430562,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.450858,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.471036,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.491235,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.511330,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.531639,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
3943.551846,0.0000,0.0100,0.0000,-0.0098,-0.0098,0.0000,0.0098,-1.0000
