# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=ang_step_full run=LOG-69.TXT
5013.869983,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5013.890222,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5013.910437,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5013.930675,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5013.950878,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5013.971130,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5013.991323,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.011624,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.031828,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.052066,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.072305,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.092608,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.112854,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.133067,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.153278,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.173576,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.193812,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.214095,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.234339,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.254610,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.274860,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.295094,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.315380,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.335562,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.355801,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.376040,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.396277,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.416485,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.436662,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.456791,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.476947,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.497129,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.517232,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.537411,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.557603,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.577850,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.598067,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.618306,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.638538,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.658828,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.679068,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.699240,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.719415,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.739600,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
5014.759835,0.0000,0.2500,0.0000,-0.2441,-0.2441,0.0000,0.2441,-1.0000
