# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=ang_coast run=LOG-70.TXT
5193.522149,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5193.542244,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.562330,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.582404,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.602473,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.622547,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.642617,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.662682,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.682747,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.702814,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.722890,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.742976,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.763022,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.783201,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.803293,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.823378,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.843450,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.863521,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.883589,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.903655,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.923801,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.943894,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.963962,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5193.984019,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5194.004114,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5194.024193,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5194.044270,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5194.064346,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5194.084422,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5194.104491,0.0000,1.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5194.124567,0.0000,0.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5194.144635,0.0000,0.0000,0.0000,-0.9766,-0.9766,0.0000,0.9766,-1.0000
5194.164716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
