# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=coupling_grid run=LOG-71.TXT
5318.622668,0.2500,-0.1300,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5318.643271,0.2500,-0.1300,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5318.663354,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.683449,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.703523,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.723594,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.743661,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.763730,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.783798,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.803879,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.823945,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.844041,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.864110,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.884287,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.904367,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.924512,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.944580,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.964648,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5318.984720,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.004785,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.024847,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.044911,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.065067,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.085217,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.105383,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.125541,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.145694,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.165838,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.186048,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.206243,0.2500,-0.1300,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.226690,0.0000,0.0000,0.0000,0.3711,-0.1172,0.2441,-0.1270,-1.0000
5319.246889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.267051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.287142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.307342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.327442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.347537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.367633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.387787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.407929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.428126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.448223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.468433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.488649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.508866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.529027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.549155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.569348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.589545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.609742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.629937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.650132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.670322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.690509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.710710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.730909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.751097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.771292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.791501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5319.811698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
