# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=lin_prbs run=LOG-76.TXT
5912.807659,-0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
5912.827855,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5912.848059,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5912.868237,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5912.888564,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5912.908825,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5912.929073,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5912.949269,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5912.969449,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5912.989561,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.009640,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.029832,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.050035,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.070287,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.090383,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.110485,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.130714,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.150936,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.171182,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.191355,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.211597,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.231798,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.251963,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.272147,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.292242,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.312335,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.332585,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.352800,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
5913.373221,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.393475,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.413644,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.433845,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.454045,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.474322,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.494558,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.514800,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.535065,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.555198,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.575451,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.595550,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.615802,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.636063,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.656244,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.676449,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.696714,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.716863,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.737072,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,-1.0000
5913.757295,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,-1.0000
