# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=lin_prbs run=LOG-78.TXT
# meas_linear/meas_angular re-derived from the channels with read_invert_a=false read_invert_b=true
6027.032992,-0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,nan,-1.0000
6027.053081,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.073152,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.093235,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.113312,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.133386,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.153458,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.173547,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.193634,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.213725,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.233805,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.253891,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.273978,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.294052,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.314151,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.334221,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.354289,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.374362,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.394427,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.414497,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.434579,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.454691,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.474856,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.494947,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.515048,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.535150,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.555233,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.575306,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.595374,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.615546,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.635706,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.655786,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.675931,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.696028,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.716103,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.736177,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.756268,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.776356,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.796447,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.816713,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.836796,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.856863,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.876945,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.897052,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.917136,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.937215,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.957381,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6027.977460,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6027.997532,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.017600,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.037672,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.057748,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.077827,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.097896,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.117971,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.138029,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.158095,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.178369,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.198437,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.218505,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.238583,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.258768,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.278845,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.298923,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.318994,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.339022,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.359089,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.379162,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.399236,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.419301,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.439381,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.459477,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.479555,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.499631,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.519707,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.539785,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.559874,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.579948,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.600021,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.620107,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.640181,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.660274,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.680375,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.700477,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.720574,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.742054,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.762220,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.782309,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.802389,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.822468,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.842543,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.862714,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.882794,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.902935,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.923033,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6028.943102,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.963169,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6028.983235,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.003302,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.023374,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.043455,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.063713,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6029.083794,0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6029.103862,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.123934,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.144025,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.164094,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.184167,0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.204235,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.224302,-0.6000,0.0000,0.0000,0.5859,-0.5859,0.5859,-0.0000,nan,-1.0000
6029.244498,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6029.264589,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6029.284686,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6029.304767,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6029.324847,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6029.344926,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
6029.365062,-0.6000,0.0000,0.0000,-0.5859,0.5859,-0.5859,-0.0000,nan,-1.0000
