# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=ang_prbs run=LOG-79.TXT
6126.990592,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6127.010786,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.030977,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.051195,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.071413,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.091720,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.112031,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.132241,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.152491,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.172647,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.192878,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.213046,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.233114,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.253310,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.273560,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.293808,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.314085,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.334167,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.354417,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.374623,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.394817,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.414985,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.435218,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.455392,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.475624,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.495908,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.516048,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.536286,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.556465,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.576625,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.596784,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.616935,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.637093,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.657292,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.677471,0.0000,0.5000,0.0000,-0.4883,0.4883,-0.4883,-0.0000,-1.0000
6127.697679,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.717887,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.738114,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.758327,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.778564,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.798795,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.819074,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.839283,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.859517,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6127.879752,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.899994,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.920251,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.940489,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.960624,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6127.980796,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.001057,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.021222,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.041453,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.061643,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.081938,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.102158,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.122420,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.142627,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.162855,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.183092,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.203325,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.223514,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.243753,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.263987,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.284200,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.304438,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.324599,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.344827,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.365036,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.385288,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.405525,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.425696,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.445853,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.466040,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.486213,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.506376,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.526589,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.546888,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.567107,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.587346,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.607541,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.627798,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.648026,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.668326,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.688433,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.708676,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.728948,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.749183,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.769380,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.789638,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.809742,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.830060,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.850348,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.870608,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.890926,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.911121,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6128.931303,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.951411,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.971685,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6128.991908,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.012184,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.032297,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.052405,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.072584,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.092756,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.113076,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.133224,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.153463,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.173570,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.193825,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.213922,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.234199,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.254298,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.274557,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.294663,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.314936,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.335178,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.355441,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.375681,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.395940,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.416162,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.436357,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.456536,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.476823,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.497049,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.517239,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.537500,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.557754,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.578076,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.598269,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.618557,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.638734,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6129.658921,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6129.679114,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.699304,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.719537,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.739773,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6129.760070,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6129.780181,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6129.800376,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.820653,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.840910,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.861104,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6129.881181,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6129.901286,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.921519,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.941734,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.961957,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6129.982185,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.002345,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.022559,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.042804,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.063065,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.083373,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.103651,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.123863,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.144110,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.164389,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.184651,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.204841,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.225125,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.245339,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.265590,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.285770,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6130.306055,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6130.326311,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6130.346512,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.366828,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.387120,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.407383,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.427646,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.447937,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6130.468195,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6130.488442,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6130.508624,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.528802,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.548982,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.569155,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.589236,0.0000,-0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.609330,0.0000,0.5000,0.0000,0.4883,0.4883,0.0000,-0.4883,-1.0000
6130.629510,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6130.649603,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6130.669746,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6130.689907,0.0000,-0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
