# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=lin_chirp run=LOG-83.TXT
6380.307614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6380.327890,0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6380.348139,0.0206,0.0000,0.0000,0.0098,-0.0098,0.0098,-0.0000,-1.0000
6380.368250,0.0309,0.0000,0.0000,0.0195,-0.0195,0.0195,-0.0000,-1.0000
6380.388354,0.0414,0.0000,0.0000,0.0293,-0.0293,0.0293,-0.0000,-1.0000
6380.408612,0.0520,0.0000,0.0000,0.0410,-0.0410,0.0410,-0.0000,-1.0000
6380.428806,0.0626,0.0000,0.0000,0.0508,-0.0508,0.0508,-0.0000,-1.0000
6380.449086,0.0734,0.0000,0.0000,0.0605,-0.0605,0.0605,-0.0000,-1.0000
6380.469337,0.0842,0.0000,0.0000,0.0723,-0.0723,0.0723,-0.0000,-1.0000
6380.489443,0.0950,0.0000,0.0000,0.0820,-0.0820,0.0820,-0.0000,-1.0000
6380.509723,0.1059,0.0000,0.0000,0.0938,-0.0938,0.0938,-0.0000,-1.0000
6380.529977,0.1169,0.0000,0.0000,0.1035,-0.1035,0.1035,-0.0000,-1.0000
6380.550295,0.1278,0.0000,0.0000,0.1133,-0.1133,0.1133,-0.0000,-1.0000
6380.570409,0.1387,0.0000,0.0000,0.1250,-0.1250,0.1250,-0.0000,-1.0000
6380.590512,0.1496,0.0000,0.0000,0.1348,-0.1348,0.1348,-0.0000,-1.0000
6380.610619,0.1605,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000
6380.630872,0.1714,0.0000,0.0000,0.1562,-0.1562,0.1562,-0.0000,-1.0000
6380.651129,0.1823,0.0000,0.0000,0.1680,-0.1680,0.1680,-0.0000,-1.0000
6380.671250,0.1931,0.0000,0.0000,0.1777,-0.1777,0.1777,-0.0000,-1.0000
6380.691359,0.2037,0.0000,0.0000,0.1895,-0.1895,0.1895,-0.0000,-1.0000
6380.711609,0.2144,0.0000,0.0000,0.1992,-0.1992,0.1992,-0.0000,-1.0000
6380.731722,0.2249,0.0000,0.0000,0.2090,-0.2090,0.2090,-0.0000,-1.0000
6380.751953,0.2354,0.0000,0.0000,0.2188,-0.2188,0.2188,-0.0000,-1.0000
6380.772054,0.2456,0.0000,0.0000,0.2305,-0.2305,0.2305,-0.0000,-1.0000
6380.792240,0.2558,0.0000,0.0000,0.2402,-0.2402,0.2402,-0.0000,-1.0000
6380.812482,0.2658,0.0000,0.0000,0.2500,-0.2500,0.2500,-0.0000,-1.0000
6380.832712,0.2756,0.0000,0.0000,0.2598,-0.2598,0.2598,-0.0000,-1.0000
6380.852918,0.2852,0.0000,0.0000,0.2695,-0.2695,0.2695,-0.0000,-1.0000
6380.873154,0.2946,0.0000,0.0000,0.2793,-0.2793,0.2793,-0.0000,-1.0000
6380.893332,0.3037,0.0000,0.0000,0.2871,-0.2871,0.2871,-0.0000,-1.0000
6380.913427,0.3125,0.0000,0.0000,0.2969,-0.2969,0.2969,-0.0000,-1.0000
6380.933678,0.3211,0.0000,0.0000,0.3047,-0.3047,0.3047,-0.0000,-1.0000
6380.953767,0.3294,0.0000,0.0000,0.3145,-0.3145,0.3145,-0.0000,-1.0000
6380.973916,0.3373,0.0000,0.0000,0.3223,-0.3223,0.3223,-0.0000,-1.0000
6380.994077,0.3448,0.0000,0.0000,0.3301,-0.3301,0.3301,-0.0000,-1.0000
6381.014251,0.3520,0.0000,0.0000,0.3359,-0.3359,0.3359,-0.0000,-1.0000
6381.034453,0.3588,0.0000,0.0000,0.3438,-0.3438,0.3438,-0.0000,-1.0000
6381.054653,0.3652,0.0000,0.0000,0.3496,-0.3496,0.3496,-0.0000,-1.0000
6381.074827,0.3711,0.0000,0.0000,0.3574,-0.3496,0.3535,-0.0039,-1.0000
6381.095073,0.3765,0.0000,0.0000,0.3633,-0.3574,0.3604,-0.0029,-1.0000
6381.115310,0.3815,0.0000,0.0000,0.3633,-0.3633,0.3633,-0.0000,-1.0000
6381.135503,0.3859,0.0000,0.0000,0.3672,-0.3672,0.3672,-0.0000,-1.0000
6381.155582,0.3897,0.0000,0.0000,0.3730,-0.3730,0.3730,-0.0000,-1.0000
6381.175674,0.3930,0.0000,0.0000,0.3770,-0.3770,0.3770,-0.0000,-1.0000
6381.195885,0.3957,0.0000,0.0000,0.3828,-0.3828,0.3828,-0.0000,-1.0000
6381.216173,0.3977,0.0000,0.0000,0.3828,-0.3828,0.3828,-0.0000,-1.0000
6381.236424,0.3992,0.0000,0.0000,0.3867,-0.3867,0.3867,-0.0000,-1.0000
6381.256678,0.3999,0.0000,0.0000,0.3887,-0.3887,0.3887,-0.0000,-1.0000
6381.276904,0.3999,0.0000,0.0000,0.3906,-0.3906,0.3906,-0.0000,-1.0000
6381.297080,0.3992,0.0000,0.0000,0.3906,-0.3906,0.3906,-0.0000,-1.0000
6381.317336,0.3978,0.0000,0.0000,0.3906,-0.3906,0.3906,-0.0000,-1.0000
6381.337599,0.3956,0.0000,0.0000,0.3906,-0.3906,0.3906,-0.0000,-1.0000
6381.357877,0.3926,0.0000,0.0000,0.3867,-0.3867,0.3867,-0.0000,-1.0000
6381.378180,0.3888,0.0000,0.0000,0.3867,-0.3867,0.3867,-0.0000,-1.0000
6381.398449,0.3842,0.0000,0.0000,0.3828,-0.3828,0.3828,-0.0000,-1.0000
6381.418714,0.3788,0.0000,0.0000,0.3789,-0.3789,0.3789,-0.0000,-1.0000
6381.438992,0.3725,0.0000,0.0000,0.3691,-0.3691,0.3691,-0.0000,-1.0000
6381.459226,0.3653,0.0000,0.0000,0.3691,-0.3691,0.3691,-0.0000,-1.0000
6381.479464,0.3573,0.0000,0.0000,0.3633,-0.3633,0.3633,-0.0000,-1.0000
6381.499771,0.3483,0.0000,0.0000,0.3496,-0.3496,0.3496,-0.0000,-1.0000
6381.519972,0.3385,0.0000,0.0000,0.3398,-0.3398,0.3398,-0.0000,-1.0000
6381.540186,0.3278,0.0000,0.0000,0.3398,-0.3398,0.3398,-0.0000,-1.0000
6381.560289,0.3163,0.0000,0.0000,0.3301,-0.3301,0.3301,-0.0000,-1.0000
6381.580525,0.3038,0.0000,0.0000,0.3086,-0.3086,0.3086,-0.0000,-1.0000
6381.600750,0.2904,0.0000,0.0000,0.2969,-0.2969,0.2969,-0.0000,-1.0000
6381.620964,0.2761,0.0000,0.0000,0.2969,-0.2969,0.2969,-0.0000,-1.0000
6381.641239,0.2610,0.0000,0.0000,0.2832,-0.2832,0.2832,-0.0000,-1.0000
6381.661468,0.2450,0.0000,0.0000,0.2539,-0.2539,0.2539,-0.0000,-1.0000
6381.681577,0.2283,0.0000,0.0000,0.2383,-0.2383,0.2383,-0.0000,-1.0000
6381.701882,0.2106,0.0000,0.0000,0.2383,-0.2383,0.2383,-0.0000,-1.0000
6381.722105,0.1922,0.0000,0.0000,0.2227,-0.2227,0.2227,-0.0000,-1.0000
6381.742291,0.1730,0.0000,0.0000,0.1875,-0.1875,0.1875,-0.0000,-1.0000
6381.762497,0.1532,0.0000,0.0000,0.1699,-0.1699,0.1699,-0.0000,-1.0000
6381.782597,0.1328,0.0000,0.0000,0.1699,-0.1699,0.1699,-0.0000,-1.0000
6381.802839,0.1116,0.0000,0.0000,0.1504,-0.1504,0.1504,-0.0000,-1.0000
6381.823105,0.0898,0.0000,0.0000,0.1094,-0.1094,0.1094,-0.0000,-1.0000
6381.843394,0.0674,0.0000,0.0000,0.0879,-0.0879,0.0879,-0.0000,-1.0000
6381.863608,0.0447,0.0000,0.0000,0.0879,-0.0879,0.0879,-0.0000,-1.0000
6381.883844,0.0216,0.0000,0.0000,0.0430,-0.0430,0.0430,-0.0000,-1.0000
6381.904087,-0.0019,0.0000,0.0000,0.0215,-0.0215,0.0215,-0.0000,-1.0000
6381.924320,-0.0256,0.0000,0.0000,-0.0020,0.0020,-0.0020,-0.0000,-1.0000
6381.944562,-0.0494,0.0000,0.0000,-0.0020,0.0020,-0.0020,-0.0000,-1.0000
6381.964739,-0.0733,0.0000,0.0000,-0.0488,0.0488,-0.0488,-0.0000,-1.0000
6381.985060,-0.0973,0.0000,0.0000,-0.0723,0.0723,-0.0723,-0.0000,-1.0000
