# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=ang_chirp run=LOG-84.TXT
6443.725285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6443.745436,0.0000,0.0127,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6443.765588,0.0000,0.0254,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6443.785742,0.0000,0.0381,0.0000,-0.0117,-0.0117,0.0000,0.0117,-1.0000
6443.805887,0.0000,0.0508,0.0000,-0.0254,-0.0254,0.0000,0.0254,-1.0000
6443.826037,0.0000,0.0635,0.0000,-0.0488,-0.0488,0.0000,0.0488,-1.0000
6443.846190,0.0000,0.0762,0.0000,-0.0488,-0.0488,0.0000,0.0488,-1.0000
6443.866338,0.0000,0.0889,0.0000,-0.0625,-0.0625,0.0000,0.0625,-1.0000
6443.886493,0.0000,0.1016,0.0000,-0.0859,-0.0859,0.0000,0.0859,-1.0000
6443.906642,0.0000,0.1142,0.0000,-0.0996,-0.0996,0.0000,0.0996,-1.0000
6443.926797,0.0000,0.1268,0.0000,-0.0996,-0.0996,0.0000,0.0996,-1.0000
6443.946967,0.0000,0.1393,0.0000,-0.1113,-0.1113,0.0000,0.1113,-1.0000
6443.967130,0.0000,0.1518,0.0000,-0.1367,-0.1367,0.0000,0.1367,-1.0000
6443.987281,0.0000,0.1642,0.0000,-0.1484,-0.1484,0.0000,0.1484,-1.0000
6444.007430,0.0000,0.1765,0.0000,-0.1484,-0.1484,0.0000,0.1484,-1.0000
6444.027602,0.0000,0.1887,0.0000,-0.1719,-0.1719,0.0000,0.1719,-1.0000
6444.047774,0.0000,0.2009,0.0000,-0.1836,-0.1836,0.0000,0.1836,-1.0000
6444.067912,0.0000,0.2129,0.0000,-0.1953,-0.1953,0.0000,0.1953,-1.0000
6444.088048,0.0000,0.2247,0.0000,-0.1953,-0.1953,0.0000,0.1953,-1.0000
6444.108590,0.0000,0.2367,0.0000,-0.2188,-0.2188,0.0000,0.2188,-1.0000
6444.128739,0.0000,0.2483,0.0000,-0.2305,-0.2305,0.0000,0.2305,-1.0000
6444.148891,0.0000,0.2598,0.0000,-0.2422,-0.2422,0.0000,0.2422,-1.0000
6444.169030,0.0000,0.2711,0.0000,-0.2422,-0.2422,0.0000,0.2422,-1.0000
6444.189178,0.0000,0.2823,0.0000,-0.2656,-0.2656,0.0000,0.2656,-1.0000
6444.209320,0.0000,0.2932,0.0000,-0.2754,-0.2754,0.0000,0.2754,-1.0000
6444.229377,0.0000,0.3040,0.0000,-0.2871,-0.2871,0.0000,0.2871,-1.0000
6444.249522,0.0000,0.3146,0.0000,-0.2871,-0.2871,0.0000,0.2871,-1.0000
6444.269667,0.0000,0.3250,0.0000,-0.3066,-0.3066,0.0000,0.3066,-1.0000
6444.289816,0.0000,0.3352,0.0000,-0.3164,-0.3164,0.0000,0.3164,-1.0000
6444.310036,0.0000,0.3451,0.0000,-0.3281,-0.3281,0.0000,0.3281,-1.0000
6444.330182,0.0000,0.3549,0.0000,-0.3281,-0.3281,0.0000,0.3281,-1.0000
6444.350339,0.0000,0.3644,0.0000,-0.3379,-0.3379,0.0000,0.3379,-1.0000
6444.370488,0.0000,0.3736,0.0000,-0.3555,-0.3555,0.0000,0.3555,-1.0000
6444.390639,0.0000,0.3826,0.0000,-0.3652,-0.3652,0.0000,0.3652,-1.0000
6444.410820,0.0000,0.3913,0.0000,-0.3652,-0.3652,0.0000,0.3652,-1.0000
6444.430974,0.0000,0.3997,0.0000,-0.3828,-0.3828,0.0000,0.3828,-1.0000
6444.451127,0.0000,0.4079,0.0000,-0.3906,-0.3906,0.0000,0.3906,-1.0000
6444.471265,0.0000,0.4157,0.0000,-0.3984,-0.3984,0.0000,0.3984,-1.0000
6444.491414,0.0000,0.4233,0.0000,-0.3984,-0.3984,0.0000,0.3984,-1.0000
6444.511565,0.0000,0.4305,0.0000,-0.4141,-0.4141,0.0000,0.4141,-1.0000
6444.531710,0.0000,0.4375,0.0000,-0.4199,-0.4199,0.0000,0.4199,-1.0000
6444.551854,0.0000,0.4441,0.0000,-0.4277,-0.4277,0.0000,0.4277,-1.0000
6444.572069,0.0000,0.4504,0.0000,-0.4336,-0.4336,0.0000,0.4336,-1.0000
6444.592149,0.0000,0.4563,0.0000,-0.4395,-0.4395,0.0000,0.4395,-1.0000
6444.612212,0.0000,0.4618,0.0000,-0.4453,-0.4453,0.0000,0.4453,-1.0000
6444.632368,0.0000,0.4671,0.0000,-0.4512,-0.4512,0.0000,0.4512,-1.0000
6444.652609,0.0000,0.4720,0.0000,-0.4570,-0.4570,0.0000,0.4570,-1.0000
6444.672760,0.0000,0.4765,0.0000,-0.4609,-0.4609,0.0000,0.4609,-1.0000
6444.692912,0.0000,0.4806,0.0000,-0.4648,-0.4648,0.0000,0.4648,-1.0000
6444.713059,0.0000,0.4843,0.0000,-0.4688,-0.4688,0.0000,0.4688,-1.0000
6444.733196,0.0000,0.4877,0.0000,-0.4727,-0.4727,0.0000,0.4727,-1.0000
6444.753342,0.0000,0.4906,0.0000,-0.4766,-0.4766,0.0000,0.4766,-1.0000
6444.773479,0.0000,0.4932,0.0000,-0.4785,-0.4785,0.0000,0.4785,-1.0000
6444.793644,0.0000,0.4954,0.0000,-0.4824,-0.4824,0.0000,0.4824,-1.0000
6444.813822,0.0000,0.4971,0.0000,-0.4844,-0.4844,0.0000,0.4844,-1.0000
6444.833960,0.0000,0.4985,0.0000,-0.4863,-0.4863,0.0000,0.4863,-1.0000
6444.854144,0.0000,0.4994,0.0000,-0.4863,-0.4863,0.0000,0.4863,-1.0000
6444.874203,0.0000,0.4999,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6444.894352,0.0000,0.5000,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6444.914489,0.0000,0.4996,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6444.934659,0.0000,0.4989,0.0000,-0.4883,-0.4883,0.0000,0.4883,-1.0000
6444.954805,0.0000,0.4976,0.0000,-0.4863,-0.4863,0.0000,0.4863,-1.0000
6444.974955,0.0000,0.4960,0.0000,-0.4863,-0.4863,0.0000,0.4863,-1.0000
6444.995100,0.0000,0.4939,0.0000,-0.4844,-0.4844,0.0000,0.4844,-1.0000
6445.015250,0.0000,0.4914,0.0000,-0.4824,-0.4824,0.0000,0.4824,-1.0000
6445.035415,0.0000,0.4884,0.0000,-0.4805,-0.4805,0.0000,0.4805,-1.0000
6445.055607,0.0000,0.4850,0.0000,-0.4766,-0.4766,0.0000,0.4766,-1.0000
6445.075783,0.0000,0.4812,0.0000,-0.4746,-0.4746,0.0000,0.4746,-1.0000
6445.096035,0.0000,0.4769,0.0000,-0.4707,-0.4707,0.0000,0.4707,-1.0000
6445.116120,0.0000,0.4722,0.0000,-0.4707,-0.4707,0.0000,0.4707,-1.0000
6445.136182,0.0000,0.4670,0.0000,-0.4648,-0.4648,0.0000,0.4648,-1.0000
6445.156251,0.0000,0.4614,0.0000,-0.4609,-0.4609,0.0000,0.4609,-1.0000
6445.176325,0.0000,0.4554,0.0000,-0.4570,-0.4570,0.0000,0.4570,-1.0000
6445.196385,0.0000,0.4490,0.0000,-0.4512,-0.4512,0.0000,0.4512,-1.0000
6445.216446,0.0000,0.4421,0.0000,-0.4453,-0.4453,0.0000,0.4453,-1.0000
6445.236516,0.0000,0.4349,0.0000,-0.4375,-0.4375,0.0000,0.4375,-1.0000
6445.256704,0.0000,0.4271,0.0000,-0.4316,-0.4316,0.0000,0.4316,-1.0000
6445.276764,0.0000,0.4190,0.0000,-0.4238,-0.4238,0.0000,0.4238,-1.0000
6445.296829,0.0000,0.4105,0.0000,-0.4180,-0.4180,0.0000,0.4180,-1.0000
6445.316896,0.0000,0.4015,0.0000,-0.4082,-0.4082,0.0000,0.4082,-1.0000
6445.337037,0.0000,0.3921,0.0000,-0.4004,-0.4004,0.0000,0.4004,-1.0000
6445.357100,0.0000,0.3824,0.0000,-0.3926,-0.3926,0.0000,0.3926,-1.0000
6445.377166,0.0000,0.3723,0.0000,-0.3828,-0.3828,0.0000,0.3828,-1.0000
6445.397370,0.0000,0.3617,0.0000,-0.3730,-0.3730,0.0000,0.3730,-1.0000
6445.417435,0.0000,0.3508,0.0000,-0.3633,-0.3633,0.0000,0.3633,-1.0000
6445.437526,0.0000,0.3396,0.0000,-0.3535,-0.3535,0.0000,0.3535,-1.0000
6445.457667,0.0000,0.3279,0.0000,-0.3418,-0.3418,0.0000,0.3418,-1.0000
6445.477747,0.0000,0.3160,0.0000,-0.3320,-0.3320,0.0000,0.3320,-1.0000
6445.497849,0.0000,0.3037,0.0000,-0.3203,-0.3203,0.0000,0.3203,-1.0000
6445.517941,0.0000,0.2910,0.0000,-0.3086,-0.3086,0.0000,0.3086,-1.0000
6445.538039,0.0000,0.2781,0.0000,-0.2969,-0.2969,0.0000,0.2969,-1.0000
6445.558123,0.0000,0.2648,0.0000,-0.2852,-0.2852,0.0000,0.2852,-1.0000
6445.578212,0.0000,0.2513,0.0000,-0.2715,-0.2715,0.0000,0.2715,-1.0000
6445.598292,0.0000,0.2374,0.0000,-0.2578,-0.2578,0.0000,0.2578,-1.0000
6445.618457,0.0000,0.2233,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000
6445.638536,0.0000,0.2089,0.0000,-0.2324,-0.2324,0.0000,0.2324,-1.0000
6445.658618,0.0000,0.1943,0.0000,-0.2188,-0.2188,0.0000,0.2188,-1.0000
6445.678700,0.0000,0.1794,0.0000,-0.2031,-0.2031,0.0000,0.2031,-1.0000
6445.698782,0.0000,0.1643,0.0000,-0.1895,-0.1895,0.0000,0.1895,-1.0000
