# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=lin_sine run=LOG-88.TXT
6661.916250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6661.936525,0.0635,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6661.956753,0.1259,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6661.976840,0.1858,0.0000,0.0000,0.0625,-0.0625,0.0625,-0.0000,-1.0000
6661.997047,0.2431,0.0000,0.0000,0.1816,-0.1816,0.1816,-0.0000,-1.0000
6662.017202,0.2963,0.0000,0.0000,0.1816,-0.1816,0.1816,-0.0000,-1.0000
6662.037394,0.3449,0.0000,0.0000,0.2383,-0.2383,0.2383,-0.0000,-1.0000
6662.057657,0.3881,0.0000,0.0000,0.2891,-0.2891,0.2891,-0.0000,-1.0000
6662.077915,0.4249,0.0000,0.0000,0.3359,-0.3359,0.3359,-0.0000,-1.0000
6662.098165,0.4549,0.0000,0.0000,0.3789,-0.3789,0.3789,-0.0000,-1.0000
6662.118403,0.4776,0.0000,0.0000,0.4141,-0.4141,0.4141,-0.0000,-1.0000
6662.138670,0.4925,0.0000,0.0000,0.4434,-0.4434,0.4434,-0.0000,-1.0000
6662.158883,0.4995,0.0000,0.0000,0.4805,-0.4805,0.4805,-0.0000,-1.0000
6662.179145,0.4984,0.0000,0.0000,0.4805,-0.4805,0.4805,-0.0000,-1.0000
6662.199380,0.4892,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000
6662.219475,0.4723,0.0000,0.0000,0.4785,-0.4785,0.4785,-0.0000,-1.0000
6662.239570,0.4479,0.0000,0.0000,0.4609,-0.4609,0.4609,-0.0000,-1.0000
6662.259664,0.4163,0.0000,0.0000,0.4609,-0.4609,0.4609,-0.0000,-1.0000
6662.279914,0.3778,0.0000,0.0000,0.4375,-0.4375,0.4375,-0.0000,-1.0000
6662.300134,0.3333,0.0000,0.0000,0.3691,-0.3691,0.3691,-0.0000,-1.0000
6662.320321,0.2834,0.0000,0.0000,0.3262,-0.3262,0.3262,-0.0000,-1.0000
6662.340480,0.2291,0.0000,0.0000,0.3262,-0.3262,0.3262,-0.0000,-1.0000
6662.360632,0.1712,0.0000,0.0000,0.2773,-0.2773,0.2773,-0.0000,-1.0000
6662.380879,0.1102,0.0000,0.0000,0.1680,-0.1680,0.1680,-0.0000,-1.0000
6662.401086,0.0476,0.0000,0.0000,0.1074,-0.1074,0.1074,-0.0000,-1.0000
6662.421148,-0.0154,0.0000,0.0000,0.1074,-0.1074,0.1074,-0.0000,-1.0000
6662.441247,-0.0782,0.0000,0.0000,0.0469,-0.0469,0.0469,-0.0000,-1.0000
6662.461331,-0.1397,0.0000,0.0000,-0.0762,0.0762,-0.0762,-0.0000,-1.0000
6662.481554,-0.1995,0.0000,0.0000,-0.1367,0.1367,-0.1367,-0.0000,-1.0000
6662.501652,-0.2556,0.0000,0.0000,-0.1367,0.1367,-0.1367,-0.0000,-1.0000
6662.521813,-0.3079,0.0000,0.0000,-0.1953,0.1953,-0.1953,-0.0000,-1.0000
6662.542074,-0.3554,0.0000,0.0000,-0.3008,0.3008,-0.3008,-0.0000,-1.0000
