# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_arm
# rate_hz=50.0 waveform=lin_triangle run=LOG-91.TXT
6839.601732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6839.621936,0.0323,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6839.642181,0.0647,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000
6839.662350,0.0970,0.0000,0.0000,0.0625,-0.0625,0.0625,-0.0000,-1.0000
6839.682535,0.1293,0.0000,0.0000,0.0938,-0.0938,0.0938,-0.0000,-1.0000
6839.702613,0.1614,0.0000,0.0000,0.1270,-0.1270,0.1270,-0.0000,-1.0000
6839.722829,0.1938,0.0000,0.0000,0.1270,-0.1270,0.1270,-0.0000,-1.0000
6839.743117,0.2262,0.0000,0.0000,0.1895,-0.1895,0.1895,-0.0000,-1.0000
6839.763298,0.2585,0.0000,0.0000,0.2207,-0.2207,0.2207,-0.0000,-1.0000
6839.783387,0.2907,0.0000,0.0000,0.2520,-0.2520,0.2520,-0.0000,-1.0000
6839.803581,0.3230,0.0000,0.0000,0.2832,-0.2832,0.2832,-0.0000,-1.0000
6839.823828,0.3554,0.0000,0.0000,0.3145,-0.3145,0.3145,-0.0000,-1.0000
6839.844070,0.3877,0.0000,0.0000,0.3477,-0.3477,0.3477,-0.0000,-1.0000
6839.864312,0.3799,0.0000,0.0000,0.3789,-0.3789,0.3789,-0.0000,-1.0000
6839.884572,0.3475,0.0000,0.0000,0.3711,-0.3711,0.3711,-0.0000,-1.0000
6839.904826,0.3150,0.0000,0.0000,0.3398,-0.3398,0.3398,-0.0000,-1.0000
6839.925054,0.2827,0.0000,0.0000,0.3086,-0.3086,0.3086,-0.0000,-1.0000
6839.945360,0.2502,0.0000,0.0000,0.3086,-0.3086,0.3086,-0.0000,-1.0000
6839.965646,0.2177,0.0000,0.0000,0.2441,-0.2441,0.2441,-0.0000,-1.0000
6839.985858,0.1854,0.0000,0.0000,0.2129,-0.2129,0.2129,-0.0000,-1.0000
6840.006069,0.1531,0.0000,0.0000,0.1816,-0.1816,0.1816,-0.0000,-1.0000
6840.026351,0.1206,0.0000,0.0000,0.1504,-0.1504,0.1504,-0.0000,-1.0000
6840.046557,0.0883,0.0000,0.0000,0.1172,-0.1172,0.1172,-0.0000,-1.0000
6840.066822,0.0559,0.0000,0.0000,0.0859,-0.0859,0.0859,-0.0000,-1.0000
6840.087074,0.0235,0.0000,0.0000,0.0547,-0.0547,0.0547,-0.0000,-1.0000
6840.107243,-0.0088,0.0000,0.0000,0.0234,-0.0234,0.0234,-0.0000,-1.0000
6840.127491,-0.0412,0.0000,0.0000,-0.0078,0.0078,-0.0078,-0.0000,-1.0000
6840.147651,-0.0735,0.0000,0.0000,-0.0410,0.0410,-0.0410,-0.0000,-1.0000
6840.167865,-0.1058,0.0000,0.0000,-0.0723,0.0723,-0.0723,-0.0000,-1.0000
6840.188044,-0.1381,0.0000,0.0000,-0.1035,0.1035,-0.1035,-0.0000,-1.0000
6840.208212,-0.1704,0.0000,0.0000,-0.1348,0.1348,-0.1348,-0.0000,-1.0000
6840.228414,-0.2027,0.0000,0.0000,-0.1660,0.1660,-0.1660,-0.0000,-1.0000
6840.248619,-0.2350,0.0000,0.0000,-0.1973,0.1973,-0.1973,-0.0000,-1.0000
6840.268881,-0.2674,0.0000,0.0000,-0.2305,0.1973,-0.2139,0.0166,-1.0000
6840.289110,-0.2998,0.0000,0.0000,-0.2305,0.2305,-0.2305,-0.0000,-1.0000
6840.309342,-0.3322,0.0000,0.0000,-0.2617,0.2617,-0.2617,-0.0000,-1.0000
6840.329579,-0.3646,0.0000,0.0000,-0.2930,0.2930,-0.2930,-0.0000,-1.0000
6840.349675,-0.3967,0.0000,0.0000,-0.3242,0.3242,-0.3242,-0.0000,-1.0000
6840.369908,-0.3709,0.0000,0.0000,-0.3555,0.3555,-0.3555,-0.0000,-1.0000
6840.390101,-0.3386,0.0000,0.0000,-0.3867,0.3867,-0.3867,-0.0000,-1.0000
6840.410378,-0.3062,0.0000,0.0000,-0.3613,0.3613,-0.3613,-0.0000,-1.0000
6840.430474,-0.2740,0.0000,0.0000,-0.3301,0.3301,-0.3301,-0.0000,-1.0000
6840.450704,-0.2416,0.0000,0.0000,-0.2988,0.2988,-0.2988,-0.0000,-1.0000
6840.470983,-0.2092,0.0000,0.0000,-0.2676,0.2676,-0.2676,-0.0000,-1.0000
6840.491173,-0.1769,0.0000,0.0000,-0.2676,0.2676,-0.2676,-0.0000,-1.0000
6840.511409,-0.1445,0.0000,0.0000,-0.2051,0.2051,-0.2051,-0.0000,-1.0000
6840.531683,-0.1121,0.0000,0.0000,-0.1719,0.1719,-0.1719,-0.0000,-1.0000
6840.551853,-0.0798,0.0000,0.0000,-0.1406,0.1406,-0.1406,-0.0000,-1.0000
6840.572037,-0.0475,0.0000,0.0000,-0.0781,0.0781,-0.0781,-0.0000,-1.0000
6840.592140,-0.0153,0.0000,0.0000,-0.0781,0.0781,-0.0781,-0.0000,-1.0000
6840.612316,0.0169,0.0000,0.0000,-0.0469,0.0469,-0.0469,-0.0000,-1.0000
6840.632546,0.0493,0.0000,0.0000,-0.0156,0.0156,-0.0156,-0.0000,-1.0000
6840.652712,0.0816,0.0000,0.0000,0.0488,-0.0488,0.0488,-0.0000,-1.0000
6840.672872,0.1138,0.0000,0.0000,0.0488,-0.0488,0.0488,-0.0000,-1.0000
6840.693033,0.1461,0.0000,0.0000,0.0801,-0.0801,0.0801,-0.0000,-1.0000
6840.713196,0.1783,0.0000,0.0000,0.1113,-0.1113,0.1113,-0.0000,-1.0000
6840.733290,0.2105,0.0000,0.0000,0.1738,-0.1738,0.1738,-0.0000,-1.0000
6840.753532,0.2429,0.0000,0.0000,0.1738,-0.1738,0.1738,-0.0000,-1.0000
6840.773775,0.2753,0.0000,0.0000,0.2051,-0.2051,0.2051,-0.0000,-1.0000
6840.793967,0.3076,0.0000,0.0000,0.2363,-0.2363,0.2363,-0.0000,-1.0000
6840.814153,0.3399,0.0000,0.0000,0.3008,-0.3008,0.3008,-0.0000,-1.0000
6840.834356,0.3722,0.0000,0.0000,0.3008,-0.3008,0.3008,-0.0000,-1.0000
6840.854614,0.3954,0.0000,0.0000,0.3320,-0.3320,0.3320,-0.0000,-1.0000
6840.874817,0.3631,0.0000,0.0000,0.3633,-0.3633,0.3633,-0.0000,-1.0000
6840.894977,0.3308,0.0000,0.0000,0.3555,-0.3555,0.3555,-0.0000,-1.0000
6840.915249,0.2984,0.0000,0.0000,0.3555,-0.3555,0.3555,-0.0000,-1.0000
6840.935488,0.2660,0.0000,0.0000,0.3223,-0.3223,0.3223,-0.0000,-1.0000
6840.955878,0.2334,0.0000,0.0000,0.2598,-0.2598,0.2598,-0.0000,-1.0000
6840.976136,0.2010,0.0000,0.0000,0.2285,-0.2285,0.2285,-0.0000,-1.0000
6840.996398,0.1685,0.0000,0.0000,0.2285,-0.2285,0.2285,-0.0000,-1.0000
6841.016646,0.1361,0.0000,0.0000,0.1953,-0.1953,0.1953,-0.0000,-1.0000
6841.036913,0.1037,0.0000,0.0000,0.1328,-0.1328,0.1328,-0.0000,-1.0000
6841.057093,0.0714,0.0000,0.0000,0.1016,-0.1016,0.1016,-0.0000,-1.0000
6841.077316,0.0391,0.0000,0.0000,0.1016,-0.1016,0.1016,-0.0000,-1.0000
6841.097418,0.0069,0.0000,0.0000,0.0703,-0.0703,0.0703,-0.0000,-1.0000
6841.117662,-0.0255,0.0000,0.0000,0.0059,-0.0059,0.0059,-0.0000,-1.0000
6841.137952,-0.0580,0.0000,0.0000,-0.0254,0.0254,-0.0254,-0.0000,-1.0000
6841.158206,-0.0904,0.0000,0.0000,-0.0254,0.0254,-0.0254,-0.0000,-1.0000
6841.178429,-0.1227,0.0000,0.0000,-0.0566,0.0566,-0.0566,-0.0000,-1.0000
6841.198621,-0.1550,0.0000,0.0000,-0.1191,0.1191,-0.1191,-0.0000,-1.0000
6841.218879,-0.1874,0.0000,0.0000,-0.1523,0.1523,-0.1523,-0.0000,-1.0000
6841.239057,-0.2197,0.0000,0.0000,-0.1523,0.1523,-0.1523,-0.0000,-1.0000
6841.259266,-0.2521,0.0000,0.0000,-0.2148,0.2148,-0.2148,-0.0000,-1.0000
6841.279363,-0.2842,0.0000,0.0000,-0.2461,0.2461,-0.2461,-0.0000,-1.0000
6841.299445,-0.3163,0.0000,0.0000,-0.2773,0.2773,-0.2773,-0.0000,-1.0000
6841.319538,-0.3485,0.0000,0.0000,-0.2773,0.2773,-0.2773,-0.0000,-1.0000
6841.339855,-0.3810,0.0000,0.0000,-0.3398,0.3398,-0.3398,-0.0000,-1.0000
6841.360106,-0.3866,0.0000,0.0000,-0.3711,0.3711,-0.3711,-0.0000,-1.0000
6841.380271,-0.3543,0.0000,0.0000,-0.3770,0.3770,-0.3770,-0.0000,-1.0000
6841.400468,-0.3220,0.0000,0.0000,-0.3770,0.3770,-0.3770,-0.0000,-1.0000
6841.420635,-0.2898,0.0000,0.0000,-0.3145,0.3145,-0.3145,-0.0000,-1.0000
6841.440843,-0.2574,0.0000,0.0000,-0.2832,0.2832,-0.2832,-0.0000,-1.0000
6841.461068,-0.2251,0.0000,0.0000,-0.2520,0.2520,-0.2520,-0.0000,-1.0000
6841.481235,-0.1928,0.0000,0.0000,-0.2520,0.2520,-0.2520,-0.0000,-1.0000
6841.501409,-0.1605,0.0000,0.0000,-0.1875,0.1875,-0.1875,-0.0000,-1.0000
