# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=coupling_grid run=LOG-112.TXT
# meas_linear/meas_angular re-derived from the channels with read_invert_a=false read_invert_b=true
3076.122702,0.2500,-0.2400,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
3076.142918,0.2500,-0.2400,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
3076.163130,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.183225,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.203411,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.223504,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.243735,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.263904,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.284169,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.304360,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.324569,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.344846,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.365113,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.385282,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.405526,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.425756,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.445974,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
3076.466207,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2442,-0.2325,-1.0000,-1.0000
