# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=coupling_grid run=LOG-117.TXT
5795.847692,0.2500,-0.2400,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
5795.867781,0.2500,-0.2400,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
5795.887980,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5795.908118,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5795.928331,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5795.948422,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5795.968513,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5795.988752,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.008951,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.029245,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.049338,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.069636,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.089883,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.110160,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.130387,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.150599,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.170869,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.191120,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.211351,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.231465,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.251700,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.271967,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.292217,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.312454,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.332663,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.352854,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.373106,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.393282,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.413436,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.433527,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.453694,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.473955,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.494238,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.514519,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.534755,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
5796.555059,0.2500,-0.2400,0.0000,0.4766,-0.0117,0.2441,-0.2324,-1.0000,-1.0000
