# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=ang_coast run=LOG-120.TXT
6530.168779,0.0000,1.0000,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
6530.188992,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.209197,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.229483,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.249650,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.269931,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.290213,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.310479,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.330662,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.350886,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.371097,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.391371,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.411586,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.431826,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.451990,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.472132,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.492370,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.512656,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.532908,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.553098,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.573190,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.593439,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.613621,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.633831,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.654048,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.674279,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.694384,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.714668,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.734931,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.755166,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.775358,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.795456,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.815681,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.835878,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.856120,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.876337,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.896566,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.916800,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.936965,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.957210,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.977401,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6530.997630,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6531.017895,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6531.038140,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6531.058423,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6531.078528,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6531.098694,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
6531.118848,0.0000,1.0000,0.0000,-0.9785,-0.9785,0.0000,0.9785,-1.0000,-1.0000
