# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=ang_step_full run=LOG-121.TXT
6832.137934,0.0000,0.2500,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
6832.158132,0.0000,0.2500,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
6832.178371,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.198667,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.218942,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.239230,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.259561,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.279849,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.300055,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.320352,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.340542,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.360865,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.381124,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.401317,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.421517,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.441754,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.462058,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.482238,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.502362,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.522599,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.542866,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.563103,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.583378,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.603604,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.623839,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.644054,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.664341,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.684569,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.704809,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.724948,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.745137,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.765429,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.785594,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.805692,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.825856,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.845946,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.866122,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.886279,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.906460,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.926662,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.946868,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.967040,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6832.987154,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
6833.007212,0.0000,0.2500,0.0000,-0.2461,-0.2461,0.0000,0.2461,-1.0000,-1.0000
