# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=lin_step_full run=LOG-130.TXT
# meas_linear/meas_angular re-derived from the channels with read_invert_a=false read_invert_b=true
9206.632041,1.0000,0.0000,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
9206.652338,1.0000,0.0000,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
9206.672569,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.692723,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.713055,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.733348,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.753578,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.773814,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.794101,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.814203,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.834548,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.854834,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.875062,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.895297,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.915489,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.935757,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.955987,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.976189,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9206.996436,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.016715,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.037058,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.057291,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.077472,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.097677,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.117890,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.138079,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.158312,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.178613,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.198851,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.219060,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.239154,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.259354,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.279586,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.299846,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.320067,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.340304,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.360535,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.380780,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.401049,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.421142,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.441385,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.461618,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.481856,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.502063,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.522179,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.542290,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.562396,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.582679,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.602896,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.623168,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.643446,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.663693,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.683926,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.704101,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.724333,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.744622,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.764882,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.785113,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.805216,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.825480,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.845741,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.865984,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.886171,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.906394,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.926583,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.946769,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.966995,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9207.987282,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9208.007396,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9208.027538,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9208.047788,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9208.068062,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9208.088320,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
9208.108433,1.0000,0.0000,0.0000,0.9746,-0.9785,0.9766,0.0020,-1.0000,-1.0000
