# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=lin_sine run=LOG-135.TXT
9736.701638,0.0000,0.0000,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
9736.721724,0.0503,0.0000,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
9736.742065,0.1005,0.0000,0.0000,0.0469,-0.0508,0.0488,0.0020,-1.0000,-1.0000
9736.762368,0.1490,0.0000,0.0000,0.0957,-0.0508,0.0732,-0.0225,-1.0000,-1.0000
9736.782603,0.1948,0.0000,0.0000,0.0957,-0.0996,0.0977,0.0020,-1.0000,-1.0000
9736.802709,0.2373,0.0000,0.0000,0.1426,-0.1465,0.1445,0.0020,-1.0000,-1.0000
9736.822951,0.2762,0.0000,0.0000,0.1875,-0.1914,0.1895,0.0020,-1.0000,-1.0000
9736.843198,0.3107,0.0000,0.0000,0.2305,-0.2344,0.2324,0.0020,-1.0000,-1.0000
9736.863437,0.3401,0.0000,0.0000,0.2676,-0.2715,0.2695,0.0020,-1.0000,-1.0000
9736.883673,0.3641,0.0000,0.0000,0.3008,-0.3047,0.3027,0.0020,-1.0000,-1.0000
9736.903870,0.3821,0.0000,0.0000,0.3301,-0.3340,0.3320,0.0020,-1.0000,-1.0000
9736.924100,0.3940,0.0000,0.0000,0.3535,-0.3574,0.3555,0.0020,-1.0000,-1.0000
9736.944200,0.3996,0.0000,0.0000,0.3828,-0.3867,0.3848,0.0020,-1.0000,-1.0000
9736.964311,0.3987,0.0000,0.0000,0.3828,-0.3867,0.3848,0.0020,-1.0000,-1.0000
9736.984518,0.3915,0.0000,0.0000,0.3887,-0.3926,0.3906,0.0020,-1.0000,-1.0000
9737.004621,0.3780,0.0000,0.0000,0.3867,-0.3906,0.3887,0.0020,-1.0000,-1.0000
9737.024820,0.3585,0.0000,0.0000,0.3672,-0.3711,0.3691,0.0020,-1.0000,-1.0000
9737.045059,0.3330,0.0000,0.0000,0.3672,-0.3711,0.3691,0.0020,-1.0000,-1.0000
9737.065295,0.3023,0.0000,0.0000,0.3477,-0.3516,0.3496,0.0020,-1.0000,-1.0000
9737.085490,0.2667,0.0000,0.0000,0.3242,-0.3281,0.3262,0.0020,-1.0000,-1.0000
9737.105701,0.2268,0.0000,0.0000,0.2578,-0.2617,0.2598,0.0020,-1.0000,-1.0000
9737.125949,0.1831,0.0000,0.0000,0.2578,-0.2617,0.2598,0.0020,-1.0000,-1.0000
9737.146014,0.1370,0.0000,0.0000,0.2188,-0.2227,0.2207,0.0020,-1.0000,-1.0000
9737.166253,0.0882,0.0000,0.0000,0.1777,-0.1816,0.1797,0.0020,-1.0000,-1.0000
9737.186365,0.0383,0.0000,0.0000,0.0840,-0.0879,0.0859,0.0020,-1.0000,-1.0000
9737.206603,-0.0125,0.0000,0.0000,0.0840,-0.0879,0.0859,0.0020,-1.0000,-1.0000
9737.226669,-0.0627,0.0000,0.0000,0.0840,-0.0879,0.0859,0.0020,-1.0000,-1.0000
9737.246960,-0.1124,0.0000,0.0000,-0.0137,0.0098,-0.0117,0.0020,-1.0000,-1.0000
9737.267202,-0.1602,0.0000,0.0000,-0.1113,0.1074,-0.1094,0.0020,-1.0000,-1.0000
9737.287305,-0.2051,0.0000,0.0000,-0.1113,0.1074,-0.1094,0.0020,-1.0000,-1.0000
9737.307541,-0.2470,0.0000,0.0000,-0.1582,0.1543,-0.1562,0.0020,-1.0000,-1.0000
9737.327797,-0.2849,0.0000,0.0000,-0.2422,0.2383,-0.2402,0.0020,-1.0000,-1.0000
9737.348059,-0.3182,0.0000,0.0000,-0.2793,0.2754,-0.2773,0.0020,-1.0000,-1.0000
9737.368288,-0.3464,0.0000,0.0000,-0.2793,0.2754,-0.2773,0.0020,-1.0000,-1.0000
9737.388459,-0.3689,0.0000,0.0000,-0.3125,0.3086,-0.3105,0.0020,-1.0000,-1.0000
9737.408538,-0.3854,0.0000,0.0000,-0.3613,0.3574,-0.3594,0.0020,-1.0000,-1.0000
9737.428645,-0.3958,0.0000,0.0000,-0.3789,0.3750,-0.3770,0.0020,-1.0000,-1.0000
9737.448843,-0.3999,0.0000,0.0000,-0.3789,0.3750,-0.3770,0.0020,-1.0000,-1.0000
9737.469111,-0.3976,0.0000,0.0000,-0.3887,0.3848,-0.3867,0.0020,-1.0000,-1.0000
9737.489390,-0.3888,0.0000,0.0000,-0.3906,0.3867,-0.3887,0.0020,-1.0000,-1.0000
9737.509583,-0.3738,0.0000,0.0000,-0.3809,0.3770,-0.3789,0.0020,-1.0000,-1.0000
9737.529800,-0.3527,0.0000,0.0000,-0.3809,0.3770,-0.3789,0.0020,-1.0000,-1.0000
9737.549978,-0.3260,0.0000,0.0000,-0.3672,0.3633,-0.3652,0.0020,-1.0000,-1.0000
9737.570259,-0.2939,0.0000,0.0000,-0.3203,0.3164,-0.3184,0.0020,-1.0000,-1.0000
9737.590325,-0.2575,0.0000,0.0000,-0.2891,0.2852,-0.2871,0.0020,-1.0000,-1.0000
9737.610385,-0.2170,0.0000,0.0000,-0.2891,0.2852,-0.2871,0.0020,-1.0000,-1.0000
9737.630553,-0.1728,0.0000,0.0000,-0.2539,0.2500,-0.2520,0.0020,-1.0000,-1.0000
9737.650694,-0.1259,0.0000,0.0000,-0.1699,0.1660,-0.1680,0.0020,-1.0000,-1.0000
9737.670883,-0.0768,0.0000,0.0000,-0.1250,0.1211,-0.1230,0.0020,-1.0000,-1.0000
9737.691126,-0.0264,0.0000,0.0000,-0.1250,0.1211,-0.1230,0.0020,-1.0000,-1.0000
9737.711358,0.0244,0.0000,0.0000,-0.0273,0.0234,-0.0254,0.0020,-1.0000,-1.0000
9737.731637,0.0749,0.0000,0.0000,0.0215,-0.0254,0.0234,0.0020,-1.0000,-1.0000
9737.751914,0.1243,0.0000,0.0000,0.0215,-0.0254,0.0234,0.0020,-1.0000,-1.0000
9737.772193,0.1716,0.0000,0.0000,0.0703,-0.0742,0.0723,0.0020,-1.0000,-1.0000
9737.792615,0.2164,0.0000,0.0000,0.1660,-0.1699,0.1680,0.0020,-1.0000,-1.0000
9737.812852,0.2573,0.0000,0.0000,0.2090,-0.2129,0.2109,0.0020,-1.0000,-1.0000
9737.833021,0.2940,0.0000,0.0000,0.2500,-0.2539,0.2520,0.0020,-1.0000,-1.0000
9737.853257,0.3260,0.0000,0.0000,0.2500,-0.2539,0.2520,0.0020,-1.0000,-1.0000
9737.873547,0.3528,0.0000,0.0000,0.3164,-0.3203,0.3184,0.0020,-1.0000,-1.0000
9737.893784,0.3739,0.0000,0.0000,0.3418,-0.3457,0.3438,0.0020,-1.0000,-1.0000
9737.914038,0.3889,0.0000,0.0000,0.3633,-0.3672,0.3652,0.0020,-1.0000,-1.0000
9737.934172,0.3976,0.0000,0.0000,0.3633,-0.3672,0.3652,0.0020,-1.0000,-1.0000
9737.954373,0.3999,0.0000,0.0000,0.3867,-0.3906,0.3887,0.0020,-1.0000,-1.0000
9737.974461,0.3959,0.0000,0.0000,0.3887,-0.3926,0.3906,0.0020,-1.0000,-1.0000
9737.994724,0.3854,0.0000,0.0000,0.3848,-0.3887,0.3867,0.0020,-1.0000,-1.0000
9738.014961,0.3688,0.0000,0.0000,0.3848,-0.3887,0.3867,0.0020,-1.0000,-1.0000
9738.035146,0.3462,0.0000,0.0000,0.3574,-0.3613,0.3594,0.0020,-1.0000,-1.0000
9738.055364,0.3180,0.0000,0.0000,0.3359,-0.3398,0.3379,0.0020,-1.0000,-1.0000
9738.075596,0.2847,0.0000,0.0000,0.3086,-0.3125,0.3105,0.0020,-1.0000,-1.0000
9738.095829,0.2468,0.0000,0.0000,0.2754,-0.2793,0.2773,0.0020,-1.0000,-1.0000
9738.116071,0.2048,0.0000,0.0000,0.2383,-0.2422,0.2402,0.0020,-1.0000,-1.0000
9738.136164,0.1600,0.0000,0.0000,0.1973,-0.2012,0.1992,0.0020,-1.0000,-1.0000
9738.156263,0.1125,0.0000,0.0000,0.1543,-0.1582,0.1562,0.0020,-1.0000,-1.0000
9738.176517,0.0629,0.0000,0.0000,0.1543,-0.1582,0.1562,0.0020,-1.0000,-1.0000
9738.196777,0.0122,0.0000,0.0000,0.0586,-0.0625,0.0605,0.0020,-1.0000,-1.0000
9738.217029,-0.0386,0.0000,0.0000,0.0098,-0.0137,0.0117,0.0020,-1.0000,-1.0000
9738.237318,-0.0889,0.0000,0.0000,-0.0391,0.0352,-0.0371,0.0020,-1.0000,-1.0000
9738.257377,-0.1372,0.0000,0.0000,-0.0879,0.0840,-0.0859,0.0020,-1.0000,-1.0000
9738.277603,-0.1838,0.0000,0.0000,-0.1367,0.1328,-0.1348,0.0020,-1.0000,-1.0000
9738.297846,-0.2273,0.0000,0.0000,-0.1367,0.1328,-0.1348,0.0020,-1.0000,-1.0000
9738.318081,-0.2672,0.0000,0.0000,-0.2246,0.2207,-0.2227,0.0020,-1.0000,-1.0000
9738.338336,-0.3029,0.0000,0.0000,-0.2637,0.2598,-0.2617,0.0020,-1.0000,-1.0000
9738.358577,-0.3335,0.0000,0.0000,-0.2969,0.2930,-0.2949,0.0020,-1.0000,-1.0000
9738.378931,-0.3590,0.0000,0.0000,-0.3281,0.3242,-0.3262,0.0020,-1.0000,-1.0000
9738.399047,-0.3784,0.0000,0.0000,-0.3516,0.3477,-0.3496,0.0020,-1.0000,-1.0000
9738.419342,-0.3918,0.0000,0.0000,-0.3711,0.3672,-0.3691,0.0020,-1.0000,-1.0000
9738.439422,-0.3988,0.0000,0.0000,-0.3848,0.3809,-0.3828,0.0020,-1.0000,-1.0000
9738.459682,-0.3995,0.0000,0.0000,-0.3906,0.3867,-0.3887,0.0020,-1.0000,-1.0000
9738.479781,-0.3938,0.0000,0.0000,-0.3926,0.3887,-0.3906,0.0020,-1.0000,-1.0000
9738.500043,-0.3816,0.0000,0.0000,-0.3867,0.3828,-0.3848,0.0020,-1.0000,-1.0000
9738.520286,-0.3634,0.0000,0.0000,-0.3750,0.3711,-0.3730,0.0020,-1.0000,-1.0000
9738.540714,-0.3390,0.0000,0.0000,-0.3574,0.3535,-0.3555,0.0020,-1.0000,-1.0000
9738.560919,-0.3094,0.0000,0.0000,-0.3320,0.3281,-0.3301,0.0020,-1.0000,-1.0000
9738.581149,-0.2747,0.0000,0.0000,-0.3047,0.3008,-0.3027,0.0020,-1.0000,-1.0000
9738.601462,-0.2355,0.0000,0.0000,-0.2695,0.2656,-0.2676,0.0020,-1.0000,-1.0000
9738.621700,-0.1926,0.0000,0.0000,-0.2324,0.2285,-0.2305,0.0020,-1.0000,-1.0000
9738.641978,-0.1465,0.0000,0.0000,-0.1895,0.1855,-0.1875,0.0020,-1.0000,-1.0000
9738.662222,-0.0981,0.0000,0.0000,-0.1445,0.1406,-0.1426,0.0020,-1.0000,-1.0000
9738.682436,-0.0481,0.0000,0.0000,-0.1445,0.1406,-0.1426,0.0020,-1.0000,-1.0000
9738.702658,0.0026,0.0000,0.0000,-0.0977,0.0938,-0.0957,0.0020,-1.0000,-1.0000
9738.722922,0.0533,0.0000,0.0000,-0.0488,0.0449,-0.0469,0.0020,-1.0000,-1.0000
9738.743227,0.1033,0.0000,0.0000,0.0000,-0.0039,0.0020,0.0020,-1.0000,-1.0000
9738.763438,0.1514,0.0000,0.0000,0.0508,-0.0547,0.0527,0.0020,-1.0000,-1.0000
9738.783527,0.1968,0.0000,0.0000,0.0996,-0.1035,0.1016,0.0020,-1.0000,-1.0000
9738.803686,0.2393,0.0000,0.0000,0.1465,-0.1504,0.1484,0.0020,-1.0000,-1.0000
9738.823904,0.2779,0.0000,0.0000,0.1895,-0.1934,0.1914,0.0020,-1.0000,-1.0000
9738.844182,0.3122,0.0000,0.0000,0.1895,-0.1934,0.1914,0.0020,-1.0000,-1.0000
9738.864249,0.3412,0.0000,0.0000,0.3027,-0.3066,0.3047,0.0020,-1.0000,-1.0000
9738.884577,0.3650,0.0000,0.0000,0.3027,-0.3066,0.3047,0.0020,-1.0000,-1.0000
9738.904826,0.3828,0.0000,0.0000,0.3320,-0.3359,0.3340,0.0020,-1.0000,-1.0000
9738.925049,0.3944,0.0000,0.0000,0.3555,-0.3594,0.3574,0.0020,-1.0000,-1.0000
9738.945133,0.3997,0.0000,0.0000,0.3828,-0.3867,0.3848,0.0020,-1.0000,-1.0000
9738.965209,0.3985,0.0000,0.0000,0.3828,-0.3867,0.3848,0.0020,-1.0000,-1.0000
9738.985440,0.3910,0.0000,0.0000,0.3887,-0.3926,0.3906,0.0020,-1.0000,-1.0000
9739.005660,0.3772,0.0000,0.0000,0.3867,-0.3906,0.3887,0.0020,-1.0000,-1.0000
9739.025924,0.3572,0.0000,0.0000,0.3672,-0.3711,0.3691,0.0020,-1.0000,-1.0000
9739.046207,0.3314,0.0000,0.0000,0.3672,-0.3711,0.3691,0.0020,-1.0000,-1.0000
9739.066309,0.3006,0.0000,0.0000,0.3477,-0.3516,0.3496,0.0020,-1.0000,-1.0000
9739.086586,0.2646,0.0000,0.0000,0.3223,-0.3262,0.3242,0.0020,-1.0000,-1.0000
9739.106768,0.2246,0.0000,0.0000,0.2559,-0.2598,0.2578,0.0020,-1.0000,-1.0000
9739.127057,0.1807,0.0000,0.0000,0.2559,-0.2598,0.2578,0.0020,-1.0000,-1.0000
9739.147285,0.1340,0.0000,0.0000,0.2168,-0.2207,0.2188,0.0020,-1.0000,-1.0000
9739.167516,0.0851,0.0000,0.0000,0.1738,-0.1777,0.1758,0.0020,-1.0000,-1.0000
9739.187576,0.0353,0.0000,0.0000,0.0820,-0.0859,0.0840,0.0020,-1.0000,-1.0000
9739.207669,-0.0152,0.0000,0.0000,0.0820,-0.0859,0.0840,0.0020,-1.0000,-1.0000
9739.227932,-0.0658,0.0000,0.0000,0.0332,-0.0371,0.0352,0.0020,-1.0000,-1.0000
9739.248031,-0.1150,0.0000,0.0000,-0.0664,0.0625,-0.0645,0.0020,-1.0000,-1.0000
9739.268443,-0.1630,0.0000,0.0000,-0.1133,0.1094,-0.1113,0.0020,-1.0000,-1.0000
9739.288657,-0.2080,0.0000,0.0000,-0.1133,0.1094,-0.1113,0.0020,-1.0000,-1.0000
9739.308895,-0.2496,0.0000,0.0000,-0.1621,0.1582,-0.1602,0.0020,-1.0000,-1.0000
9739.329160,-0.2873,0.0000,0.0000,-0.2461,0.2422,-0.2441,0.0020,-1.0000,-1.0000
9739.349397,-0.3203,0.0000,0.0000,-0.2832,0.2793,-0.2812,0.0020,-1.0000,-1.0000
9739.369693,-0.3481,0.0000,0.0000,-0.2832,0.2793,-0.2812,0.0020,-1.0000,-1.0000
9739.389796,-0.3702,0.0000,0.0000,-0.2832,0.2793,-0.2812,0.0020,-1.0000,-1.0000
9739.410054,-0.3864,0.0000,0.0000,-0.3633,0.3594,-0.3613,0.0020,-1.0000,-1.0000
9739.430337,-0.3964,0.0000,0.0000,-0.3789,0.3750,-0.3770,0.0020,-1.0000,-1.0000
9739.450567,-0.4000,0.0000,0.0000,-0.3789,0.3750,-0.3770,0.0020,-1.0000,-1.0000
9739.470800,-0.3971,0.0000,0.0000,-0.3887,0.3848,-0.3867,0.0020,-1.0000,-1.0000
9739.491042,-0.3878,0.0000,0.0000,-0.3906,0.3867,-0.3887,0.0020,-1.0000,-1.0000
9739.511275,-0.3722,0.0000,0.0000,-0.3809,0.3770,-0.3789,0.0020,-1.0000,-1.0000
9739.531510,-0.3507,0.0000,0.0000,-0.3809,0.3770,-0.3789,0.0020,-1.0000,-1.0000
9739.551731,-0.3235,0.0000,0.0000,-0.3438,0.3398,-0.3418,0.0020,-1.0000,-1.0000
9739.572034,-0.2909,0.0000,0.0000,-0.3184,0.3145,-0.3164,0.0020,-1.0000,-1.0000
9739.592264,-0.2538,0.0000,0.0000,-0.2852,0.2812,-0.2832,0.0020,-1.0000,-1.0000
9739.612356,-0.2128,0.0000,0.0000,-0.2852,0.2812,-0.2832,0.0020,-1.0000,-1.0000
9739.632539,-0.1683,0.0000,0.0000,-0.2090,0.2051,-0.2070,0.0020,-1.0000,-1.0000
9739.652758,-0.1209,0.0000,0.0000,-0.1660,0.1621,-0.1641,0.0020,-1.0000,-1.0000
9739.672936,-0.0717,0.0000,0.0000,-0.1191,0.1152,-0.1172,0.0020,-1.0000,-1.0000
9739.693076,-0.0215,0.0000,0.0000,-0.1191,0.1152,-0.1172,0.0020,-1.0000,-1.0000
9739.713132,0.0289,0.0000,0.0000,-0.0234,0.0195,-0.0215,0.0020,-1.0000,-1.0000
9739.733198,0.0788,0.0000,0.0000,0.0254,-0.0293,0.0273,0.0020,-1.0000,-1.0000
9739.753426,0.1279,0.0000,0.0000,0.0742,-0.0781,0.0762,0.0020,-1.0000,-1.0000
9739.773667,0.1749,0.0000,0.0000,0.0742,-0.0781,0.0762,0.0020,-1.0000,-1.0000
9739.793897,0.2191,0.0000,0.0000,0.1680,-0.1719,0.1699,0.0020,-1.0000,-1.0000
9739.814140,0.2598,0.0000,0.0000,0.2129,-0.2168,0.2148,0.0020,-1.0000,-1.0000
