# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=lin_triangle run=LOG-136.TXT
9824.660734,0.0000,0.0000,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
9824.681232,0.0328,0.0000,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
9824.701557,0.0653,0.0000,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
9824.721831,0.0978,0.0000,0.0000,0.0625,-0.0664,0.0645,0.0020,-1.0000,-1.0000
9824.742024,0.1301,0.0000,0.0000,0.0625,-0.0664,0.0645,0.0020,-1.0000,-1.0000
9824.762300,0.1625,0.0000,0.0000,0.0938,-0.0977,0.0957,0.0020,-1.0000,-1.0000
9824.782581,0.1950,0.0000,0.0000,0.1250,-0.1289,0.1270,0.0020,-1.0000,-1.0000
9824.802808,0.2273,0.0000,0.0000,0.1875,-0.1914,0.1895,0.0020,-1.0000,-1.0000
9824.823103,0.2598,0.0000,0.0000,0.1875,-0.1914,0.1895,0.0020,-1.0000,-1.0000
9824.843348,0.2922,0.0000,0.0000,0.2207,-0.2246,0.2227,0.0020,-1.0000,-1.0000
9824.863821,0.3249,0.0000,0.0000,0.2832,-0.2871,0.2852,0.0020,-1.0000,-1.0000
9824.884076,0.3573,0.0000,0.0000,0.3145,-0.3184,0.3164,0.0020,-1.0000,-1.0000
9824.904132,0.3894,0.0000,0.0000,0.3145,-0.3184,0.3164,0.0020,-1.0000,-1.0000
9824.924354,0.3782,0.0000,0.0000,0.3477,-0.3516,0.3496,0.0020,-1.0000,-1.0000
9824.944577,0.3459,0.0000,0.0000,0.3672,-0.3711,0.3691,0.0020,-1.0000,-1.0000
9824.964760,0.3136,0.0000,0.0000,0.3359,-0.3398,0.3379,0.0020,-1.0000,-1.0000
9824.984939,0.2813,0.0000,0.0000,0.3359,-0.3398,0.3379,0.0020,-1.0000,-1.0000
9825.005152,0.2489,0.0000,0.0000,0.3047,-0.3086,0.3066,0.0020,-1.0000,-1.0000
9825.025616,0.2162,0.0000,0.0000,0.2402,-0.2441,0.2422,0.0020,-1.0000,-1.0000
9825.045840,0.1838,0.0000,0.0000,0.2090,-0.2129,0.2109,0.0020,-1.0000,-1.0000
9825.066256,0.1512,0.0000,0.0000,0.2090,-0.2129,0.2109,0.0020,-1.0000,-1.0000
9825.086551,0.1187,0.0000,0.0000,0.1777,-0.1816,0.1797,0.0020,-1.0000,-1.0000
9825.106849,0.0862,0.0000,0.0000,0.1133,-0.1172,0.1152,0.0020,-1.0000,-1.0000
9825.127110,0.0538,0.0000,0.0000,0.0820,-0.0859,0.0840,0.0020,-1.0000,-1.0000
9825.147630,0.0210,0.0000,0.0000,0.0820,-0.0859,0.0840,0.0020,-1.0000,-1.0000
9825.167851,-0.0114,0.0000,0.0000,0.0176,-0.0215,0.0195,0.0020,-1.0000,-1.0000
9825.188127,-0.0438,0.0000,0.0000,-0.0137,0.0098,-0.0117,0.0020,-1.0000,-1.0000
9825.208414,-0.0763,0.0000,0.0000,-0.0449,0.0410,-0.0430,0.0020,-1.0000,-1.0000
9825.228679,-0.1087,0.0000,0.0000,-0.0449,0.0410,-0.0430,0.0020,-1.0000,-1.0000
9825.248984,-0.1412,0.0000,0.0000,-0.1074,0.1035,-0.1055,0.0020,-1.0000,-1.0000
9825.269286,-0.1737,0.0000,0.0000,-0.1406,0.1367,-0.1387,0.0020,-1.0000,-1.0000
9825.289544,-0.2061,0.0000,0.0000,-0.1719,0.1680,-0.1699,0.0020,-1.0000,-1.0000
9825.309797,-0.2385,0.0000,0.0000,-0.1719,0.1680,-0.1699,0.0020,-1.0000,-1.0000
9825.330054,-0.2709,0.0000,0.0000,-0.2344,0.2305,-0.2324,0.0020,-1.0000,-1.0000
9825.350313,-0.3033,0.0000,0.0000,-0.2656,0.2617,-0.2637,0.0020,-1.0000,-1.0000
9825.370570,-0.3357,0.0000,0.0000,-0.2988,0.2949,-0.2969,0.0020,-1.0000,-1.0000
9825.390793,-0.3681,0.0000,0.0000,-0.2988,0.2949,-0.2969,0.0020,-1.0000,-1.0000
9825.411066,-0.3995,0.0000,0.0000,-0.3613,0.3574,-0.3594,0.0020,-1.0000,-1.0000
9825.431321,-0.3671,0.0000,0.0000,-0.3926,0.3887,-0.3906,0.0020,-1.0000,-1.0000
9825.451387,-0.3350,0.0000,0.0000,-0.3613,0.3574,-0.3594,0.0020,-1.0000,-1.0000
9825.471832,-0.3022,0.0000,0.0000,-0.3281,0.3242,-0.3262,0.0020,-1.0000,-1.0000
9825.492118,-0.2698,0.0000,0.0000,-0.2969,0.2930,-0.2949,0.0020,-1.0000,-1.0000
9825.512469,-0.2372,0.0000,0.0000,-0.2656,0.2617,-0.2637,0.0020,-1.0000,-1.0000
9825.532714,-0.2048,0.0000,0.0000,-0.2344,0.2305,-0.2324,0.0020,-1.0000,-1.0000
9825.552989,-0.1724,0.0000,0.0000,-0.2012,0.1973,-0.1992,0.0020,-1.0000,-1.0000
9825.573240,-0.1400,0.0000,0.0000,-0.1699,0.1660,-0.1680,0.0020,-1.0000,-1.0000
9825.593586,-0.1074,0.0000,0.0000,-0.1387,0.1348,-0.1367,0.0020,-1.0000,-1.0000
9825.613824,-0.0751,0.0000,0.0000,-0.1387,0.1348,-0.1367,0.0020,-1.0000,-1.0000
9825.634088,-0.0426,0.0000,0.0000,-0.0762,0.0723,-0.0742,0.0020,-1.0000,-1.0000
9825.654259,-0.0104,0.0000,0.0000,-0.0430,0.0391,-0.0410,0.0020,-1.0000,-1.0000
9825.674566,0.0221,0.0000,0.0000,-0.0117,0.0078,-0.0098,0.0020,-1.0000,-1.0000
