# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=lin_chirp run=LOG-137.TXT
9869.975731,0.0000,0.0000,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
9869.996000,0.0102,0.0000,0.0000,-0.0020,-0.0020,0.0000,0.0020,-1.0000,-1.0000
9870.016170,0.0204,0.0000,0.0000,0.0078,-0.0117,0.0098,0.0020,-1.0000,-1.0000
9870.036371,0.0306,0.0000,0.0000,0.0176,-0.0215,0.0195,0.0020,-1.0000,-1.0000
9870.056594,0.0408,0.0000,0.0000,0.0273,-0.0312,0.0293,0.0020,-1.0000,-1.0000
9870.076679,0.0509,0.0000,0.0000,0.0371,-0.0410,0.0391,0.0020,-1.0000,-1.0000
9870.096874,0.0611,0.0000,0.0000,0.0469,-0.0410,0.0439,-0.0029,-1.0000,-1.0000
9870.117270,0.0714,0.0000,0.0000,0.0586,-0.0508,0.0547,-0.0039,-1.0000,-1.0000
9870.137499,0.0816,0.0000,0.0000,0.0586,-0.0625,0.0605,0.0020,-1.0000,-1.0000
9870.157647,0.0917,0.0000,0.0000,0.0684,-0.0723,0.0703,0.0020,-1.0000,-1.0000
9870.177912,0.1018,0.0000,0.0000,0.0781,-0.0820,0.0801,0.0020,-1.0000,-1.0000
9870.198147,0.1118,0.0000,0.0000,0.0879,-0.0918,0.0898,0.0020,-1.0000,-1.0000
9870.218396,0.1218,0.0000,0.0000,0.0977,-0.1016,0.0996,0.0020,-1.0000,-1.0000
9870.238486,0.1317,0.0000,0.0000,0.1074,-0.1113,0.1094,0.0020,-1.0000,-1.0000
9870.258707,0.1416,0.0000,0.0000,0.1172,-0.1211,0.1191,0.0020,-1.0000,-1.0000
9870.278901,0.1514,0.0000,0.0000,0.1270,-0.1309,0.1289,0.0020,-1.0000,-1.0000
9870.299139,0.1611,0.0000,0.0000,0.1367,-0.1406,0.1387,0.0020,-1.0000,-1.0000
9870.319207,0.1707,0.0000,0.0000,0.1465,-0.1504,0.1484,0.0020,-1.0000,-1.0000
9870.339487,0.1803,0.0000,0.0000,0.1562,-0.1602,0.1582,0.0020,-1.0000,-1.0000
9870.359753,0.1897,0.0000,0.0000,0.1641,-0.1680,0.1660,0.0020,-1.0000,-1.0000
9870.379989,0.1990,0.0000,0.0000,0.1738,-0.1777,0.1758,0.0020,-1.0000,-1.0000
9870.400209,0.2083,0.0000,0.0000,0.1934,-0.1973,0.1953,0.0020,-1.0000,-1.0000
9870.420429,0.2173,0.0000,0.0000,0.1934,-0.1973,0.1953,0.0020,-1.0000,-1.0000
9870.440712,0.2263,0.0000,0.0000,0.2012,-0.2051,0.2031,0.0020,-1.0000,-1.0000
9870.460920,0.2351,0.0000,0.0000,0.2109,-0.2148,0.2129,0.0020,-1.0000,-1.0000
9870.481117,0.2437,0.0000,0.0000,0.2285,-0.2324,0.2305,0.0020,-1.0000,-1.0000
9870.501458,0.2523,0.0000,0.0000,0.2285,-0.2324,0.2305,0.0020,-1.0000,-1.0000
9870.521725,0.2606,0.0000,0.0000,0.2363,-0.2402,0.2383,0.0020,-1.0000,-1.0000
9870.541962,0.2688,0.0000,0.0000,0.2441,-0.2480,0.2461,0.0020,-1.0000,-1.0000
9870.562249,0.2768,0.0000,0.0000,0.2598,-0.2637,0.2617,0.0020,-1.0000,-1.0000
9870.582533,0.2846,0.0000,0.0000,0.2598,-0.2637,0.2617,0.0020,-1.0000,-1.0000
9870.602740,0.2922,0.0000,0.0000,0.2676,-0.2715,0.2695,0.0020,-1.0000,-1.0000
9870.622952,0.2996,0.0000,0.0000,0.2832,-0.2871,0.2852,0.0020,-1.0000,-1.0000
9870.643110,0.3068,0.0000,0.0000,0.2910,-0.2949,0.2930,0.0020,-1.0000,-1.0000
9870.663471,0.3138,0.0000,0.0000,0.2910,-0.2949,0.2930,0.0020,-1.0000,-1.0000
9870.683733,0.3205,0.0000,0.0000,0.2969,-0.3008,0.2988,0.0020,-1.0000,-1.0000
9870.703906,0.3270,0.0000,0.0000,0.3105,-0.3145,0.3125,0.0020,-1.0000,-1.0000
9870.724148,0.3333,0.0000,0.0000,0.3184,-0.3223,0.3203,0.0020,-1.0000,-1.0000
9870.744368,0.3394,0.0000,0.0000,0.3184,-0.3223,0.3203,0.0020,-1.0000,-1.0000
9870.764606,0.3452,0.0000,0.0000,0.3242,-0.3281,0.3262,0.0020,-1.0000,-1.0000
9870.784822,0.3507,0.0000,0.0000,0.3359,-0.3398,0.3379,0.0020,-1.0000,-1.0000
9870.805089,0.3560,0.0000,0.0000,0.3398,-0.3438,0.3418,0.0020,-1.0000,-1.0000
9870.825299,0.3610,0.0000,0.0000,0.3398,-0.3438,0.3418,0.0020,-1.0000,-1.0000
9870.845515,0.3657,0.0000,0.0000,0.3457,-0.3496,0.3477,0.0020,-1.0000,-1.0000
9870.865738,0.3701,0.0000,0.0000,0.3496,-0.3535,0.3516,0.0020,-1.0000,-1.0000
