# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=trim run=LOG-138.TXT
9942.385260,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
9942.405492,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.425654,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.445743,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.465830,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.486102,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.506359,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.526449,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.546602,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.566831,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.587174,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.607237,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.627487,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.647857,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.668124,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.688458,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.708730,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.728818,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.749031,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.769241,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.789551,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.809777,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.829938,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.850177,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.870411,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.890615,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.910948,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.931163,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.951390,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.971607,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9942.991924,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9943.012137,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9943.032200,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9943.052546,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9943.072778,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
9943.092958,0.1500,0.0000,0.0000,0.1465,-0.1465,0.1465,-0.0000,-1.0000,-1.0000
