# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=lin_coast run=LOG-143.TXT
10520.038346,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10520.058545,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10520.078727,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.098921,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.118996,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.139245,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.159302,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.179577,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.199808,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.220070,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.240269,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.260370,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.280606,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.300816,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.321054,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.341280,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.361376,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.381659,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.401883,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.422106,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.442310,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.462547,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.482742,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.502974,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.523204,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.543309,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.563596,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.583820,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.604058,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.624277,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.644346,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.664403,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.684632,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.704891,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.725526,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.745808,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.766085,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.786311,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.806602,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.826834,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.847057,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.867300,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.887539,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.907767,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.927991,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.948223,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.968439,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10520.988665,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.008855,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.029036,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.049537,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.069737,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.089964,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.110247,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.130451,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.150649,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.170939,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.191169,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.211535,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.231601,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.251703,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.271865,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.292114,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.312337,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.332576,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.352757,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.372981,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.393207,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.413498,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.433727,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.453963,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.474210,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.494447,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.514678,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.534907,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.555148,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.575389,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.595650,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.615885,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.636132,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.656362,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.676586,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.696822,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.717058,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.737282,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.757531,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.777814,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.798048,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.818267,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.838372,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.858436,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.878495,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.898691,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.918953,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.939246,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.959520,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10521.979783,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10522.000083,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10522.020465,0.5000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10522.040673,0.0000,0.0000,0.0000,0.4883,-0.4883,0.4883,-0.0000,-1.0000,-1.0000
10522.060825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10522.081046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10522.101248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10522.121475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10522.141759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10522.161973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10522.182217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
