# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=operator run=LOG-145.TXT
10787.477517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.497590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.517654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.537716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.557777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.577838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.598054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.618116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.638178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.658388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.678449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.698517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.718579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.738642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.758706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.778770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.798832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.818893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.838961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.859014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.879078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.899140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.919206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.939268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.959333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.979396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10787.999457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.019517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.039578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.059647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.079711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.099775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.119837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.139961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.160020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.180088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.200156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.220218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.240250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.260315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.280378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.300444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.320520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.340581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.360642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.380709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.400774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.420897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.440979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.461010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.481078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.501141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.521205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.541267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.561330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.581396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.601458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.621518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.641580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.661643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.681703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.701768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.721832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.741893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.761953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.782013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.802073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.822133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.842197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.862261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.882322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.902383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.922447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.942510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.962571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10788.982632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.002692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.022834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.042898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.062965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.083008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.103066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.123126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.143183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.163241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.183299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.203392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.223450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.243507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.263565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.283623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.303685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.323746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.343805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.363871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.383933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.403994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.424012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.444075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.464136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.484241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.504304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.524364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.544422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.564480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.584552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.604617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.624677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.644738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10789.664799,0.0000,0.0000,0.0000,0.0889,0.0850,0.0020,-0.0869,-1.0000,-1.0000
10789.684860,0.0000,0.0000,0.0000,0.1035,0.0801,0.0117,-0.0918,-1.0000,-1.0000
10789.704920,0.0000,0.0000,0.0000,0.0088,0.0088,0.0000,-0.0088,-1.0000,-1.0000
10789.724981,0.0000,0.0000,0.0000,0.0088,0.0088,0.0000,-0.0088,-1.0000,-1.0000
10789.745033,0.0000,0.0000,0.0000,-0.3086,0.0918,-0.2002,0.1084,-1.0000,-1.0000
10789.765097,0.0000,0.0000,0.0000,-0.7520,0.4082,-0.5801,0.1719,-1.0000,-1.0000
10789.785158,0.0000,0.0000,0.0000,-0.7520,0.4082,-0.5801,0.1719,-1.0000,-1.0000
10789.805238,0.0000,0.0000,0.0000,-1.0000,0.8301,-0.9150,0.0850,-1.0000,-1.0000
10789.825300,0.0000,0.0000,0.0000,-1.0000,0.9062,-0.9531,0.0469,-1.0000,-1.0000
10789.845365,0.0000,0.0000,0.0000,-1.0000,0.9395,-0.9697,0.0303,-1.0000,-1.0000
10789.865426,0.0000,0.0000,0.0000,-1.0000,0.9746,-0.9873,0.0127,-1.0000,-1.0000
10789.885489,0.0000,0.0000,0.0000,-1.0000,1.0000,-1.0000,-0.0000,-1.0000,-1.0000
10789.905551,0.0000,0.0000,0.0000,-0.9961,1.0000,-0.9980,-0.0020,-1.0000,-1.0000
10789.925614,0.0000,0.0000,0.0000,-0.9707,1.0000,-0.9854,-0.0146,-1.0000,-1.0000
10789.945747,0.0000,0.0000,0.0000,-0.9600,1.0000,-0.9800,-0.0200,-1.0000,-1.0000
10789.965810,0.0000,0.0000,0.0000,-0.9541,1.0000,-0.9771,-0.0229,-1.0000,-1.0000
10789.985872,0.0000,0.0000,0.0000,-0.9639,1.0000,-0.9819,-0.0181,-1.0000,-1.0000
10790.005933,0.0000,0.0000,0.0000,-0.9775,1.0000,-0.9888,-0.0112,-1.0000,-1.0000
10790.026031,0.0000,0.0000,0.0000,-0.9922,1.0000,-0.9961,-0.0039,-1.0000,-1.0000
10790.046093,0.0000,0.0000,0.0000,-1.0000,1.0000,-1.0000,-0.0000,-1.0000,-1.0000
10790.066154,0.0000,0.0000,0.0000,-1.0000,1.0000,-1.0000,-0.0000,-1.0000,-1.0000
10790.086217,0.0000,0.0000,0.0000,-1.0000,1.0000,-1.0000,-0.0000,-1.0000,-1.0000
10790.106278,0.0000,0.0000,0.0000,-1.0000,1.0000,-1.0000,-0.0000,-1.0000,-1.0000
