# auto-battlebot velocity jig command log
# linear/angular are what was asked for; meas_ch_a/meas_ch_b are what the radio
# reported on the two drive channels. meas_linear/meas_angular are those channels
# read through the configured mix, so they are an interpretation and the channels
# are the measurement. A wrong mix can be corrected from the channels offline.
# meas_weapon is the weapon throttle and meas_arm the weapon arm switch, CH3 and CH5
# on the radio. Neither drives the plant; both say what the robot was doing. On a
# hand-driven run the measured columns are the whole record: nothing was commanded.
# columns: t_host_s,linear,angular,trim,meas_ch_a,meas_ch_b,meas_linear,meas_angular,meas_weapon,meas_arm
# rate_hz=50.0 waveform=ang_deadzone run=LOG-146.TXT
10905.955452,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10905.975516,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10905.995577,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.015640,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.035702,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.055811,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.075878,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.096031,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.116088,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.136145,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.156205,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.176310,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.196371,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.216435,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.236496,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.256558,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.276623,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.296684,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.316789,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.336889,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.356956,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.377015,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.397077,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.417143,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.437205,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.457276,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.477339,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.497403,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.517463,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.537550,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.557610,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.577698,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.597759,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.617821,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.637880,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.657979,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.678012,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.698083,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.718145,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.738205,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.758401,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.778464,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.798525,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.818589,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.838651,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.858712,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.878774,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.898839,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.918900,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.938963,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.959020,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.979134,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10906.999196,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.019258,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.039318,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.059380,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.079445,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.099514,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.119575,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.139637,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.159699,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.179760,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.199825,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.219887,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.239947,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.260015,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.280075,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.300136,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.320215,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.340276,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.360338,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
10907.380399,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,-1.0000
