# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.140 accel_g_per_lsb=0.000488
4693689488,0,2,-2,-3,-7,24,-2045
4693690486,0,3,-1,-3,5,25,-2043
4693691488,0,3,-4,-2,-3,32,-2039
4693692486,0,2,-3,-5,6,29,-2045
4693693486,0,2,-3,-3,7,22,-2040
4693694486,0,4,-2,-6,7,29,-2047
4693695486,0,3,-4,-5,2,33,-2049
4693696486,0,5,-1,-5,0,27,-2044
4693697486,0,4,-1,-2,7,21,-2054
4693698486,0,2,-6,-3,12,19,-2044
4693699486,0,1,-2,-4,5,19,-2051
4693700486,0,1,-5,-6,0,29,-2048
4693701486,0,3,0,-1,8,16,-2037
4693702486,0,5,-3,-2,5,17,-2043
4693703486,0,0,-2,-4,4,25,-2042
4693704486,0,4,-1,0,2,21,-2049
4693705486,0,1,-3,-1,9,28,-2043
4693706486,0,-1,-2,-4,5,21,-2042
4693707486,0,4,-3,-3,1,23,-2045
4693708486,0,5,-6,-6,-4,22,-2049
4693709486,0,5,1,-1,0,28,-2045
4693710486,0,3,-5,-6,7,21,-2043
4693711486,0,-1,1,-5,0,31,-2041
4693712486,0,3,-2,-5,-1,29,-2039
4693713486,0,3,1,-2,3,29,-2046
4693714486,0,3,-2,-5,0,25,-2051
4693715486,0,3,-5,-5,8,36,-2036
4693716486,0,3,-4,-3,12,27,-2042
4693717486,0,3,-4,-5,1,28,-2045
4693718486,0,0,-4,-6,5,34,-2038
4693719486,0,2,-3,-7,-6,32,-2048
4693720486,0,2,-5,-5,0,28,-2052
4693721486,0,0,-3,-1,5,33,-2049
4693722490,0,-4,-1,-3,8,35,-2049
4693723489,0,5,-5,-7,2,31,-2043
4693724486,0,4,-2,-4,4,29,-2053
4693725486,0,3,-1,-2,-1,30,-2037
4693726486,0,6,-5,-4,3,19,-2046
4693727486,0,0,-2,3,7,26,-2044
4693728486,0,2,-3,-3,-4,29,-2045
4693729486,0,5,0,-6,3,28,-2047
4693730486,0,2,-1,-4,-1,22,-2047
4693731486,0,2,-4,-7,5,26,-2038
4693732486,0,2,-4,-3,0,25,-2042
4693733486,0,2,-3,-2,4,18,-2046
4693734486,0,6,-3,-4,9,22,-2042
4693735486,0,2,-3,-4,5,23,-2047
4693736486,0,0,-1,-5,-5,19,-2044
4693737486,0,4,-2,-2,8,25,-2043
4693738486,0,1,0,-2,-4,21,-2047
4693739486,0,0,0,-3,1,21,-2045
4693740486,0,3,-2,-4,5,23,-2043
4693741486,0,0,-3,-4,-2,22,-2048
4693742486,0,6,-3,-5,4,27,-2050
4693743486,0,4,-3,-4,6,24,-2054
4693744486,0,6,-3,-8,4,26,-2044
4693745486,0,-1,-3,-1,1,22,-2047
4693746486,0,-1,0,-1,10,21,-2045
4693747486,0,1,-2,-1,-3,26,-2054
4693748486,0,2,-1,-4,0,29,-2043
4693749486,0,2,-4,-4,1,21,-2044
4693750486,0,-1,0,-1,0,26,-2041
4693751486,0,2,2,-1,1,29,-2050
4693752486,0,2,-5,-7,5,29,-2040
4693753486,0,0,1,-5,4,22,-2042
4693754486,0,1,-5,-3,4,29,-2046
4693755486,0,1,-6,-3,0,20,-2051
4693756486,0,3,-4,-5,5,27,-2052
4693757486,0,4,-2,-3,0,31,-2046
4693758486,0,-2,-3,-3,12,26,-2044
4693759486,0,4,-3,-4,4,20,-2037
4693760486,0,3,-4,-4,1,26,-2042
4693761486,0,3,-3,-5,-8,26,-2042
4693762486,0,3,-3,-8,3,29,-2047
4693763486,0,0,1,-1,2,33,-2040
4693764486,0,-1,0,-2,3,20,-2044
4693765486,0,1,-1,-4,0,23,-2050
4693766486,0,3,-3,-3,4,24,-2042
4693767486,0,6,0,-1,0,25,-2045
4693768486,0,-3,2,-1,-1,29,-2043
4693769486,0,2,-4,-2,6,27,-2046
4693770486,0,3,-5,-4,2,24,-2041
4693771486,0,4,-4,-2,8,25,-2041
4693772486,0,-1,-2,-4,1,31,-2041
4693773486,0,2,1,-2,6,19,-2043
4693774486,0,-1,-2,-6,1,24,-2044
4693775486,0,2,-5,-7,4,23,-2040
4693776486,0,2,-1,-4,7,22,-2045
4693777486,0,5,-2,-4,-5,24,-2051
4693778486,0,4,-3,-4,9,24,-2038
4693779486,0,2,-2,-4,0,30,-2048
4693780486,0,4,-3,-7,2,20,-2036
4693781486,0,-1,2,-4,0,25,-2044
4693782486,0,4,-5,-3,4,19,-2043
4693783486,0,3,-3,-4,4,22,-2046
4693784486,0,5,-1,1,2,21,-2042
4693785486,0,3,-2,-2,-2,25,-2047
4693786486,0,0,1,-4,5,25,-2046
4693787486,0,3,-4,-5,-7,24,-2052
4693788486,0,5,-2,-2,4,22,-2040
4693789486,0,3,-1,-4,1,29,-2040
4693790486,0,3,-2,-1,-3,28,-2047
4693791486,0,3,-1,-8,4,24,-2053
4693792486,0,3,-4,-8,6,24,-2047
4693793486,0,1,-1,-3,5,24,-2044
4693794486,0,0,0,-5,7,26,-2051
4693795486,0,1,-2,-3,12,19,-2048
4693796486,0,0,0,-3,0,19,-2048
4693797486,0,3,-2,-1,3,31,-2047
4693798486,0,3,-3,1,1,30,-2048
4693799486,0,2,-5,-1,4,31,-2045
4693800486,0,0,0,-3,8,21,-2051
4693801486,0,6,-5,-5,0,29,-2045
4693802486,0,-1,1,-2,-3,28,-2045
4693803486,0,-1,0,0,1,23,-2044
4693804486,0,5,-4,-7,3,22,-2044
4693805486,0,1,3,-2,5,32,-2042
4693806486,0,1,-3,-3,5,25,-2050
4693807486,0,4,1,-2,2,31,-2041
4693808486,0,3,-2,-3,3,21,-2046
4693809486,0,0,-2,-3,-2,22,-2042
4693810486,0,-2,-2,-2,10,33,-2041
4693811486,0,4,-2,-5,1,21,-2045
4693812486,0,1,1,-4,3,30,-2038
4693813486,0,2,-4,-3,9,24,-2044
4693814486,0,1,0,-4,8,25,-2045
4693815486,0,0,-1,1,8,29,-2038
4693816486,0,2,-1,-4,5,24,-2054
4693817486,0,2,-1,-6,1,15,-2050
4693818486,0,1,-2,-3,0,15,-2038
4693819486,0,4,-3,-7,4,37,-2042
4693820486,0,3,-4,-3,7,20,-2046
4693821486,0,3,-1,-1,5,30,-2053
4693822486,0,2,1,-3,-3,23,-2046
4693823486,0,2,-4,0,-2,26,-2051
4693824486,0,1,-3,-1,5,27,-2037
4693825486,0,1,-3,-1,1,24,-2042
4693826486,0,0,-1,-2,-1,29,-2047
4693827486,0,3,-6,-4,2,26,-2047
4693828486,0,1,-3,-8,-2,30,-2038
4693829486,0,0,0,-5,3,24,-2049
4693830486,0,2,-1,-5,5,28,-2053
4693831486,0,3,0,-6,-5,22,-2047
4693832486,0,3,-4,-7,2,23,-2047
4693833486,0,4,-4,-5,-2,23,-2047
4693834486,0,2,-2,-2,-4,31,-2045
4693835486,0,5,-3,-4,9,33,-2046
4693836486,0,-2,2,-3,3,34,-2051
4693837486,0,-4,4,-1,6,23,-2044
4693838486,0,1,-2,-3,-3,26,-2050
4693839486,0,1,-3,-5,-1,22,-2041
4693840486,0,1,-4,-3,-2,29,-2043
4693841486,0,2,-3,-3,6,27,-2043
4693842486,0,1,-3,-3,-5,27,-2047
4693843486,0,5,-5,-4,4,32,-2048
4693844486,0,0,-4,-5,2,27,-2046
4693845486,0,2,-5,-5,5,29,-2047
4693846486,0,2,-3,-4,7,28,-2045
4693847486,0,0,-2,-3,-2,28,-2046
4693848486,0,2,-4,-2,7,28,-2049
4693849486,0,2,-4,-6,2,28,-2043
4693850486,0,1,1,-4,2,33,-2036
4693851486,0,0,-1,-2,1,19,-2043
4693852486,0,-1,-1,-3,7,25,-2047
4693853486,0,-1,-1,-4,4,25,-2052
4693854486,0,0,-1,-1,5,33,-2051
4693855486,0,4,-4,-3,2,23,-2049
4693856486,0,0,-2,-2,0,20,-2041
4693857486,0,4,-3,-4,5,17,-2049
4693858486,0,1,1,-1,2,31,-2046
4693859486,0,2,-1,-5,10,26,-2046
4693860486,0,5,-6,2,2,34,-2050
4693861486,0,6,-2,-1,1,21,-2048
4693862486,0,1,-3,-4,-3,19,-2047
4693863486,0,1,-1,0,6,21,-2048
4693864486,0,0,-2,-5,-2,28,-2041
4693865486,0,-1,-3,-4,0,24,-2044
4693866486,0,2,0,-2,8,23,-2047
4693867486,0,2,0,-3,-6,21,-2046
4693868486,0,2,-3,-3,10,33,-2041
4693869486,0,-3,-3,-5,3,22,-2047
4693870486,0,2,-2,-6,11,22,-2052
4693871486,0,4,-4,-4,1,20,-2045
4693872486,0,4,-3,-3,-5,29,-2040
4693873486,0,3,-2,-2,6,19,-2040
4693874486,0,0,-5,-3,3,27,-2043
4693875486,0,1,-2,-2,2,26,-2035
4693876486,0,3,-3,-2,3,28,-2044
4693877486,0,0,-2,0,4,21,-2044
4693878486,0,2,-2,-3,4,30,-2049
4693879486,0,3,-4,-8,10,25,-2043
4693880486,0,4,-1,-7,3,24,-2044
4693881486,0,2,-4,-3,0,28,-2052
4693882486,0,1,-1,-4,1,26,-2048
4693883486,0,5,-1,-5,1,24,-2049
4693884486,0,0,-5,-4,2,28,-2049
4693885486,0,1,-1,-4,8,31,-2046
4693886486,0,4,-4,-7,4,24,-2051
4693887486,0,-1,-1,1,-1,31,-2048
4693888486,0,-2,0,-2,0,27,-2048
4693889486,0,3,-1,-2,5,24,-2046
4693890486,0,3,1,-1,3,28,-2034
4693891486,0,0,-2,-3,-8,18,-2049
4693892486,0,5,-3,-6,2,23,-2051
4693893486,0,1,-2,-3,-4,26,-2050
4693894486,0,4,-1,-5,9,20,-2045
