# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
5116781106,0,23,-39,11,90,-66,-3571
5116782103,0,-132,78,3,-1663,-873,-2866
5116783103,0,28,3,2,1076,976,-5838
5116784103,0,29,-82,-2,1094,247,-3836
5116785103,0,40,-125,-13,-43,-542,-4648
5116786103,0,50,-125,6,-400,14,-3745
5116787103,0,9,-45,8,-432,-91,-3783
5116788103,0,22,-45,13,193,-209,-4053
5116789103,0,15,-57,4,440,12,-4201
5116790103,0,20,-64,14,327,80,-4368
5116791103,0,45,-78,2,0,116,-4213
5116792103,0,40,-74,19,160,-51,-3963
5116793103,0,10,-65,18,-73,-90,-3983
5116794103,0,-4,-49,10,-149,-42,-3976
5116795103,0,-10,-31,12,-299,-80,-3963
5116796103,0,-18,-22,-2,-258,49,-4031
5116797103,0,-16,-8,6,-201,170,-4114
5116798103,0,-11,3,-1,-168,96,-4062
5116799103,0,-8,10,13,-149,51,-4046
5116800103,0,-19,25,7,-212,20,-3975
5116801103,0,-4,2,0,325,318,-4363
5116802103,0,2,5,4,-173,230,-3900
5116803103,0,2,8,3,-102,-39,-4025
5116804103,0,8,18,2,-198,147,-3976
5116805103,0,4,31,-1,77,128,-4056
5116806103,0,-4,26,0,257,3,-4061
5116807103,0,-3,18,13,220,104,-4043
5116808103,0,-9,17,-5,208,164,-4105
5116809103,0,-1,2,0,202,138,-4089
5116810103,0,7,1,-6,259,143,-4017
5116811103,0,-1,-5,-4,175,179,-4034
5116812103,0,2,-8,-13,127,183,-4000
5116813103,0,9,-9,-3,83,139,-3968
5116814116,0,1,-5,-2,92,71,-3985
5116815103,0,-2,-5,-9,139,97,-4000
5116816103,0,8,-8,-3,118,128,-4032
5116817103,0,6,-14,-15,130,122,-4024
5116818103,0,1,-15,-4,50,107,-4037
5116819103,0,5,-10,-6,-4,80,-4071
5116820103,0,2,-9,-14,-37,44,-4085
5116821103,0,2,-2,-6,-10,20,-4083
5116822103,0,3,1,-10,-5,24,-4102
5116823103,0,7,-5,-6,-33,71,-4120
5116824103,0,-1,1,-8,0,46,-4141
5116825103,0,8,0,-14,6,28,-4125
5116826103,0,5,1,-14,15,26,-4131
5116827103,0,4,1,-13,48,14,-4143
5116828103,0,5,-2,-8,69,13,-4110
5116829103,0,7,-1,-9,58,-20,-4125
5116830103,0,1,3,-10,70,-27,-4091
5116831103,0,5,-1,-13,67,-25,-4111
5116832103,0,5,-1,-13,66,-18,-4102
5116833103,0,9,-9,-8,76,-3,-4095
5116834103,0,4,-6,-6,73,-16,-4087
5116835103,0,-5,-3,-6,53,-6,-4088
5116836103,0,5,-8,-10,66,2,-4085
5116837103,0,4,-5,-8,67,-3,-4088
5116838103,0,4,-6,-4,33,11,-4092
5116839103,0,5,-11,-7,34,9,-4067
5116840103,0,-4,1,0,13,23,-4065
5116841103,0,7,-5,-8,21,15,-4061
5116842103,0,6,-5,-5,38,28,-4069
5116843103,0,2,-4,-7,46,48,-4077
5116844103,0,4,-7,-3,59,49,-4072
5116845103,0,-2,5,-3,58,53,-4075
5116846103,0,5,-6,-9,54,75,-4089
5116847103,0,3,-5,-8,49,76,-4087
5116848103,0,5,-8,-9,36,87,-4088
5116849103,0,-3,-4,0,47,86,-4071
5116850103,0,2,-3,-9,56,84,-4090
5116851103,0,2,-8,-9,60,89,-4112
5116852103,0,0,-8,-5,46,98,-4097
5116853103,0,1,-6,-10,47,106,-4098
5116854103,0,3,-1,-5,33,71,-4098
5116855103,0,7,-10,-6,24,86,-4086
5116856103,0,1,-3,-7,15,74,-4085
