t,x,y,yaw,visible
2180.9378,,,,0
2180.9487,,,,0
2180.9534,,,,0
2180.9616,,,,0
2180.9724,,,,0
2180.9822,,,,0
2180.9928,,,,0
2181.0024,,,,0
2181.0126,,,,0
2181.0227,,,,0
2181.0325,,,,0
2181.0428,,,,0
2181.0528,,,,0
2181.0625,,,,0
2181.0728,,,,0
2181.0829,,,,0
2181.0931,,,,0
2181.1027,,,,0
2181.1128,,,,0
2181.1227,,,,0
2181.1328,,,,0
2181.1430,,,,0
2181.1531,,,,0
2181.1631,,,,0
2181.1727,,,,0
2181.1826,,,,0
2181.1924,,,,0
2181.2025,,,,0
2181.2127,,,,0
2181.2230,,,,0
2181.2330,,,,0
2181.2431,,,,0
2181.2530,,,,0
2181.2636,,,,0
2181.2731,,,,0
2181.2828,,,,0
2181.2927,,,,0
2181.3033,,,,0
2181.3127,,,,0
2181.3227,,,,0
2181.3327,,,,0
2181.3430,,,,0
2181.3529,,,,0
2181.3628,,,,0
2181.3731,,,,0
2181.3829,,,,0
2181.3927,,,,0
2181.4027,,,,0
2181.4131,,,,0
2181.4227,,,,0
2181.4329,,,,0
2181.4429,,,,0
2181.4540,,,,0
2181.4637,,,,0
2181.4735,,,,0
2181.4831,,,,0
2181.4934,,,,0
2181.5037,,,,0
2181.5133,,,,0
2181.5233,,,,0
2181.5326,,,,0
2181.5441,,,,0
2181.5520,,,,0
2181.5633,,,,0
2181.5736,,,,0
2181.5835,,,,0
2181.5932,,,,0
2181.6035,,,,0
2181.6136,,,,0
2181.6235,,,,0
2181.6336,,,,0
2181.6436,,,,0
2181.6531,,,,0
2181.6632,,,,0
2181.6733,,,,0
2181.6836,,,,0
2181.6933,,,,0
2181.7035,,,,0
2181.7136,,,,0
2181.7229,,,,0
2181.7338,,,,0
2181.7454,,,,0
2181.7540,,,,0
2181.7638,,,,0
2181.7737,,,,0
2181.7838,,,,0
2181.7936,,,,0
2181.8039,,,,0
2181.8139,,,,0
2181.8238,,,,0
2181.8337,,,,0
2181.8438,,,,0
2181.8537,,,,0
2181.8641,,,,0
2181.8741,,,,0
2181.8838,,,,0
2181.8960,,,,0
2181.9046,,,,0
2181.9144,,,,0
2181.9242,,,,0
2181.9343,,,,0
2181.9436,,,,0
2181.9537,,,,0
2181.9636,,,,0
2181.9736,,,,0
2181.9839,,,,0
2181.9938,,,,0
2182.0039,,,,0
2182.0136,,,,0
2182.0240,,,,0
2182.0342,,,,0
2182.0442,,,,0
2182.0539,,,,0
2182.0645,,,,0
2182.0742,,,,0
2182.0843,,,,0
2182.0943,,,,0
2182.1044,,,,0
2182.1144,,,,0
2182.1246,,,,0
2182.1344,,,,0
2182.1445,,,,0
2182.1543,,,,0
2182.1643,,,,0
2182.1742,,,,0
2182.1844,,,,0
2182.1943,,,,0
2182.2044,,,,0
2182.2143,,,,0
2182.2243,,,,0
2182.2343,,,,0
2182.2441,,,,0
2182.2544,,,,0
2182.2644,,,,0
2182.2745,,,,0
2182.2847,,,,0
2182.2950,,,,0
2182.3047,,,,0
2182.3148,,,,0
2182.3246,,,,0
2182.3347,,,,0
2182.3444,,,,0
2182.3542,,,,0
2182.3644,,,,0
2182.3746,,,,0
2182.3846,,,,0
2182.3947,,,,0
2182.4048,,,,0
2182.4149,,,,0
2182.4248,,,,0
2182.4347,,,,0
2182.4449,,,,0
2182.4549,,,,0
2182.4646,,,,0
2182.4748,,,,0
2182.4850,,,,0
2182.4951,,,,0
2182.5049,,,,0
2182.5148,,,,0
2182.5251,,,,0
2182.5351,,,,0
2182.5449,,,,0
2182.5551,,,,0
2182.5649,,,,0
2182.5749,,,,0
2182.5848,,,,0
2182.5955,,,,0
2182.6051,,,,0
2182.6152,,,,0
2182.6252,,,,0
2182.6354,,,,0
2182.6452,,,,0
2182.6548,,,,0
2182.6650,,,,0
2182.6753,,,,0
2182.6853,,,,0
2182.6952,,,,0
2182.7051,,,,0
2182.7151,,,,0
2182.7242,,,,0
2182.7350,,,,0
2182.7458,,,,0
2182.7556,,,,0
2182.7651,,,,0
2182.7751,,,,0
2182.7850,,,,0
2182.7948,,,,0
2182.8048,,,,0
2182.8151,,,,0
2182.8251,,,,0
2182.8351,,,,0
2182.8451,,,,0
2182.8550,,,,0
2182.8653,,,,0
2182.8752,,,,0
2182.8853,,,,0
2182.8952,,,,0
2182.9055,,,,0
2182.9156,,,,0
2182.9251,,,,0
2182.9354,,,,0
2182.9452,,,,0
2182.9553,,,,0
2182.9657,,,,0
2182.9754,,,,0
2182.9856,,,,0
2182.9957,,,,0
2183.0055,,,,0
2183.0156,,,,0
2183.0256,,,,0
2183.0355,,,,0
2183.0458,,,,0
2183.0555,,,,0
2183.0658,,,,0
2183.0757,,,,0
2183.0855,,,,0
2183.0959,,,,0
2183.1060,,,,0
2183.1170,,,,0
2183.1262,,,,0
2183.1359,,,,0
2183.1458,,,,0
2183.1562,,,,0
2183.1661,,,,0
2183.1759,,,,0
2183.1860,,,,0
2183.1962,,,,0
2183.2060,,,,0
2183.2160,,,,0
2183.2259,,,,0
2183.2357,,,,0
2183.2462,,,,0
2183.2558,,,,0
2183.2659,,,,0
2183.2760,,,,0
2183.2862,,,,0
2183.2967,,,,0
2183.3060,,,,0
2183.3161,,,,0
2183.3261,,,,0
2183.3359,,,,0
2183.3461,,,,0
2183.3558,,,,0
2183.3662,,,,0
2183.3762,,,,0
2183.3863,,,,0
2183.3962,,,,0
2183.4061,,,,0
2183.4163,,,,0
2183.4266,,,,0
2183.4363,,,,0
2183.4464,,,,0
2183.4560,,,,0
2183.4663,,,,0
2183.4761,,,,0
2183.4861,,,,0
2183.4963,,,,0
2183.5061,,,,0
2183.5163,,,,0
2183.5262,,,,0
2183.5367,,,,0
2183.5463,,,,0
2183.5565,,,,0
2183.5666,,,,0
2183.5763,,,,0
2183.5865,,,,0
2183.5964,,,,0
2183.6063,,,,0
2183.6165,,,,0
2183.6267,,,,0
2183.6363,,,,0
2183.6466,,,,0
2183.6568,,,,0
2183.6666,,,,0
2183.6768,,,,0
2183.6867,,,,0
2183.6967,,,,0
2183.7068,,,,0
2183.7166,,,,0
2183.7264,,,,0
2183.7368,,,,0
2183.7469,,,,0
2183.7568,,,,0
2183.7670,,,,0
2183.7771,,,,0
2183.7870,,,,0
2183.7969,,,,0
2183.8069,,,,0
2183.8170,,,,0
2183.8270,,,,0
2183.8372,,,,0
2183.8472,,,,0
2183.8571,,,,0
2183.8670,,,,0
2183.8770,,,,0
2183.8872,,,,0
2183.8974,,,,0
2183.9072,,,,0
2183.9170,,,,0
2183.9272,,,,0
2183.9370,,,,0
2183.9471,,,,0
2183.9570,,,,0
2183.9671,,,,0
2183.9769,,,,0
2183.9871,,,,0
2183.9972,,,,0
2184.0071,,,,0
2184.0171,,,,0
2184.0272,,,,0
2184.0370,,,,0
2184.0470,,,,0
2184.0573,,,,0
2184.0673,,,,0
2184.0773,,,,0
2184.0872,,,,0
2184.0972,,,,0
2184.1072,,,,0
2184.1171,,,,0
2184.1273,,,,0
2184.1372,,,,0
2184.1473,,,,0
2184.1573,,,,0
2184.1673,,,,0
2184.1770,,,,0
2184.1873,,,,0
2184.1975,,,,0
2184.2075,,,,0
2184.2174,,,,0
2184.2277,,,,0
2184.2376,,,,0
2184.2478,,,,0
2184.2576,,,,0
2184.2676,,,,0
2184.2776,,,,0
2184.2877,,,,0
2184.2976,,,,0
2184.3076,,,,0
2184.3178,,,,0
2184.3276,,,,0
2184.3378,,,,0
2184.3477,,,,0
2184.3579,,,,0
2184.3678,,,,0
2184.3777,,,,0
2184.3877,,,,0
2184.3978,,,,0
2184.4075,,,,0
2184.4178,,,,0
2184.4278,,,,0
2184.4378,,,,0
2184.4478,,,,0
2184.4577,,,,0
2184.4678,,,,0
2184.4779,,,,0
2184.4879,,,,0
2184.4978,,,,0
2184.5080,,,,0
2184.5178,,,,0
2184.5281,,,,0
2184.5382,,,,0
2184.5479,,,,0
2184.5584,,,,0
2184.5682,,,,0
2184.5777,,,,0
2184.5880,,,,0
2184.5984,,,,0
2184.6084,,,,0
2184.6181,,,,0
2184.6279,,,,0
2184.6379,,,,0
2184.6481,,,,0
2184.6580,,,,0
2184.6682,,,,0
2184.6784,,,,0
2184.6881,,,,0
2184.6982,,,,0
2184.7081,,,,0
2184.7182,,,,0
2184.7282,,,,0
2184.7385,,,,0
2184.7484,,,,0
2184.7584,,,,0
2184.7685,,,,0
2184.7786,,,,0
2184.7884,,,,0
2184.7984,,,,0
2184.8085,,,,0
2184.8185,,,,0
2184.8285,,,,0
2184.8385,,,,0
2184.8484,,,,0
2184.8584,,,,0
2184.8683,,,,0
2184.8785,,,,0
2184.8885,,,,0
2184.8988,,,,0
2184.9087,,,,0
2184.9188,,,,0
2184.9287,,,,0
2184.9387,,,,0
2184.9487,,,,0
2184.9587,,,,0
2184.9690,,,,0
2184.9788,,,,0
2184.9886,,,,0
2184.9988,,,,0
2185.0089,,,,0
2185.0189,,,,0
2185.0288,,,,0
2185.0388,,,,0
2185.0489,,,,0
2185.0586,,,,0
2185.0685,,,,0
2185.0788,,,,0
2185.0889,,,,0
