name,our_robot.start_pos,our_robot.start_yaw_deg,opponents,transmitter.behavior_mode,navigation.type,ok,hazard_count,fell_in,min_clearance_m,block_hits,episode_outcome,episode_s,ticks,min_dist_m,reached,t_contact_s,facing_pct,mean_abs_ang_deg,nearwall_pct,wall_contacts,impact_speed_mps,terminal_pos_err_m,terminal_vel_mps,overshoot_m,t_to_goal_s,obstacles_file,field_filter.hazards_file,time_lost_s,time_lost_contact_s,robot_filter.neutral_count,runner.default_opponent_count,arena.width,arena.height,field_filter.size_x,field_filter.size_y
attack_clean,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.9, 0.9]}]",ATTACK,MotionProfileNavigation,True,0,0,0.2505,0,MAX_TICKS,29.97,900,0.016,True,0.73,57.4,86.8,24.8,20,4.82,0.211,0.027,0.269,0.73,,,,,,,,,,
attack_hole,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.9, 0.9]}]",ATTACK,MotionProfileNavigation,True,1,0,0.2675,0,MAX_TICKS,29.97,900,0.002,True,0.83,59.0,83.9,28.1,18,1.61,0.164,0.286,0.233,0.87,playground/control_stage0/sweep_out/hazard_avoidance/attack_hole.hazards.toml,playground/control_stage0/sweep_out/hazard_avoidance/attack_hole.hazards.toml,0.14,0.1,,,,,,
attack_opponent_on_lip,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.62, 0.62]}]",ATTACK,MotionProfileNavigation,True,1,0,0.2421,0,MAX_TICKS,29.97,900,0.001,True,0.97,95.3,43.4,60.6,15,1.89,0.445,0.001,0.376,1.0,playground/control_stage0/sweep_out/hazard_avoidance/attack_opponent_on_lip.hazards.toml,playground/control_stage0/sweep_out/hazard_avoidance/attack_opponent_on_lip.hazards.toml,0.27,0.24,,,,,,
runaway_clean,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.6, 0.6]}]",RUN_AWAY,MotionProfileNavigation,True,0,0,0.4071,0,MAX_TICKS,29.97,900,0.002,True,0.6,2.0,0.0,0.0,0,0.9,0.002,0.0,0.0,0.67,,,,,,,,,,
runaway_hole,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.6, 0.6]}]",RUN_AWAY,MotionProfileNavigation,True,1,0,0.2678,0,MAX_TICKS,29.97,900,0.042,True,0.53,1.8,20.7,0.0,0,0.9,0.042,0.0,0.0,0.57,playground/control_stage0/sweep_out/hazard_avoidance/runaway_hole.hazards.toml,playground/control_stage0/sweep_out/hazard_avoidance/runaway_hole.hazards.toml,-0.1,-0.07,,,,,,
housebot_static,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.9, 0.9]}, {'behavior': 'static', 'start_pos': [0.0, 0.0], 'hazard_radius': 0.106, 'sprite': 'house_bot'}]",ATTACK,MotionProfileNavigation,True,0,0,0.1069,0,MAX_TICKS,29.97,900,0.02,True,0.9,58.7,83.9,24.6,17,1.17,0.172,0.753,0.239,0.93,,,0.2,0.17,1.0,1.0,,,,
housebot_crossing,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.9, 0.9]}, {'behavior': 'circle', 'start_pos': [0.0, 0.4], 'speed': 0.5, 'radius': 0.4, 'hazard_radius': 0.106, 'sprite': 'house_bot'}]",ATTACK,MotionProfileNavigation,True,0,0,0.0191,0,MAX_TICKS,29.97,900,0.001,True,0.87,58.2,84.8,11.9,13,0.86,0.178,0.231,0.224,0.87,,,0.14,0.14,1.0,1.0,,,,
hole_and_block,"[-0.9, -0.9]",45.0,"[{'behavior': 'static', 'start_pos': [0.9, 0.9]}]",ATTACK,MotionProfileNavigation,True,2,0,0.2041,0,MAX_TICKS,29.97,900,0.002,True,0.8,57.0,85.3,14.9,15,1.65,0.205,0.296,0.22,0.8,playground/control_stage0/sweep_out/hazard_avoidance/hole_and_block.hazards.toml,playground/control_stage0/sweep_out/hazard_avoidance/hole_and_block.hazards.toml,0.07,0.07,,,,,,
aer_clean,"[-0.55, -0.45]",30.0,"[{'behavior': 'static', 'start_pos': [0.45, -0.35]}]",ATTACK,MotionProfileNavigation,True,0,0,0.2938,0,MAX_TICKS,29.97,900,0.033,True,0.53,56.1,88.4,10.6,11,3.07,0.088,1.204,0.185,0.53,,,,,,,1.48,1.41,1.48,1.41
aer_two_holes_lip_opponent,"[-0.55, -0.45]",30.0,"[{'behavior': 'static', 'start_pos': [0.45, -0.35]}]",ATTACK,MotionProfileNavigation,True,2,0,0.1494,0,MAX_TICKS,29.97,900,0.001,True,0.87,60.0,75.6,7.1,7,1.2,0.08,0.743,0.059,0.9,playground/control_stage0/sweep_out/hazard_avoidance/aer_two_holes_lip_opponent.hazards.toml,playground/control_stage0/sweep_out/hazard_avoidance/aer_two_holes_lip_opponent.hazards.toml,0.37,0.34,,,1.48,1.41,1.48,1.41
aer_corridor_crossing,"[0.45, 0.45]",180.0,"[{'behavior': 'static', 'start_pos': [-0.5, -0.45]}]",ATTACK,MotionProfileNavigation,True,2,0,0.1554,0,MAX_TICKS,29.97,900,0.004,True,0.8,58.3,82.7,23.0,16,0.83,0.126,0.252,0.168,1.1,playground/control_stage0/sweep_out/hazard_avoidance/aer_corridor_crossing.hazards.toml,playground/control_stage0/sweep_out/hazard_avoidance/aer_corridor_crossing.hazards.toml,0.57,0.27,,,1.48,1.41,1.48,1.41
